delegator,amount,since,delta
cosmos1dtq0y9reqst7d99fd3c7x6dflh4eazm4ha8qqh,1000003.255618,1576022400,0
cosmos14lultfckehtszvzw4ehu0apvsr77afvyhgqhwh,750000,1576022400,0
cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,300000,1576022400,0
cosmos15hmqrc245kryaehxlch7scl9d9znxa58qkpjet,283706.19946,1619738719,0
cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,70937.801794,1576022400,0
cosmos10a7evyydck42nhta93tnmv7yu4haqzt94xyu54,50000,1576022400,0
cosmos1rknn49dq8du7f8xutrr8lne95jz6wegv6rs3yd,43353.1,1576022400,0
cosmos1s7nxav9fmfd0ssygpwjgcg8w9wngauhrk5c77d,28131.681246,1598935685,0
cosmos1j2y96fk2maxz4j4g586xvx66y2axe2305amfvc,22000.17851,1613964918,0
cosmos1dsunl9mpp6jwk8ws5fqrvtm2vwz2ymsjp8q9q6,17544.5,1617957957,0
cosmos1wza5cgx5zahphu3gfd2rqpglhqfdjhj6thmkfz,13000,1576022400,0
cosmos1r94gmhy8rhfdwl6829ks83jme5s0p8ld9g64e7,12748,1576022400,0
cosmos1lrxunkhaykgfj0lflf98d09cmxg68h6aa064dk,10515.4,1625025039,0
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,10101,1607756458,0
cosmos14xusc5g9v4vqk34gtsu89yh6jeqev9gh65ad0k,10000,1576022400,0
cosmos10e4vsut6suau8tk9m6dnrm0slgd6npe3hjqndl,10000,1576022400,0
cosmos1qnz8rrgad9ezxnel94xqs7nukkxl3h3c4y4ala,10000,1576022400,0
cosmos1tgs7a0ej04t7k0ywdfhk3lddd7a2tmgvzwexwx,10000,1635598969,0
cosmos1mekg43qn7wfauc29es0jj5halyfvynkf5upgp2,10000,1576022400,0
cosmos1hk4jv2gr7jxds2eylvmnk8q4dp5mk3vnf33nq3,7000,1576022400,0
cosmos13v5fqxuayqc8q7gpkr6jw270dxd8v9l65muw8l,7000,1576022400,0
cosmos1hk4jv2gr7jxds2eylvmnk8q4dp5mk3vnf33nq3,7000,1576022400,0
cosmos1d4p0g7a9l53yrppp8vme460kcm32x628dxh0lz,5695.788412,1614384478,0
cosmos1ev9q2wmk8prqykjgsrncl52nxwyq0ku6k4p2vv,5460,1612963939,0
cosmos1lh7d4ft4fcy78y7j55narzuy5l6hz0gnxyzkjk,5460,1612964012,0
cosmos16l5mcp4ar7cl646r6nmy8q7f5ujzxxdekvz30u,5450,1604178220,0
cosmos1hxnuxckagux4200mvfs3yd5xhqguterc46wvq8,5450,1604177116,0
cosmos1v34q6sz6ags39fjqh0nsmk4f00lxkdhfj9qft3,5024.29161,1635111248,0
cosmos1chxwqkm46nwaeerfemcg2pnl7vatr9s3as9acl,5000.360924,1576022400,0
cosmos1hlg7xd48ykp3g5qj9nvc0mg428yeq9a0u8cu6x,5000.000001,1616814745,0
cosmos1jknnlv6d68t0h8wyjx05k7drc2elfp8s695zyt,5000,1611944679,0
cosmos15kzyw7at85juqlfc04pxfd02tj8y3aag3cr9m5,5000,1627780310,0
cosmos1dwzxaessw2fpvfzyh4wp7kgmgcfgeqthjapms9,4999.5,1624303863,0
cosmos18umk4jenevvqvwcsrxmev65x5n76ml474zgpyx,4500,1612549636,0
cosmos1pm2g0uer9ry5uqmrgzdq7hv0ds8r33a9qlr8rc,4104.2,1576022400,0
cosmos1px4gt2um5z3w9rq4sclc5dhq2ct72lxy43rldv,4065.977327,1615605749,0
cosmos1226q9glnrx4vvkk68050l82dazcpk4uv5gglc0,4000,1576022400,0
cosmos1p0ytgv2e04sepcjg57sp6q6sc99jcfgppwsl0s,3739.260668,1642002855,0
cosmos1tcaw75s8r4ukj0g6qztscqssd5vrpka97rp5j5,3038.34,1576022400,0
cosmos1zqf35h70vcmfulq8s8aylc390ccp0y7x3gt4gs,2500,1616101050,0
cosmos108m6mvhujyx75p0y53p0dwfad536jjwrn9tpuc,2271.28,1576022400,0
cosmos1ng7nu0yqg4vl747khhez4j383d8e9ehh94jlkc,2248.182449,1621769010,0
cosmos1sn2hpzc7d3jq74d5ctsp402qeqvjs4qxsj64jl,2000,1619071747,0
cosmos1fr954cg6tct7yret2hztmhhhup0xq00swqe4w0,1978,1636381771,0
cosmos1yzapukpmal4m6pdrk8qkrge3nvwdkxq9c30ps0,1912.213363,1576022400,0
cosmos1q4vrf97qeulkl2u5en7946axcfv3g8d9vyw5gy,1806.046283,1625656177,0
cosmos1lutl0967h2wxnxn28mk5v0wctruy48w78549w2,1722.230612,1617788340,3.188437
cosmos1x2yssv84eyr8k8wumnfv7xhqdq74vp2yf56el4,1699,1635303390,0
cosmos1raevqcradtlnywrs0e6xt3rfuvflc5g9pj8lly,1685.171954,1628593403,0
cosmos14t74gj6wup0x7jz6azgfdkruc8p2vufcv4mvan,1500,1576757449,0
cosmos19euwqzlsaluxrtmjyd0ss6e4dwsvjxmlyvfy99,1489.483815,1612644996,0
cosmos16qv8t8hhmme9hyatekqpj6ddrupxuf5s2dmd8t,1374.5,1626112534,0
cosmos17pnuwemrduurdvz6efpsk6yazp294p5kd8pmum,1265,1638966978,0
cosmos1g9qlmew4vqf4gsyr5tj6mz4dj0msvpe63xvlqh,1207.6,1626109594,0
cosmos1j3zzv5rl46kpllanzqgpp4s63rdv2nazf3x5g4,1150,1616586315,0
cosmos1awk0u59cq3667pdxm7vchwwe7fg27caf5ega6t,1096.254486,1576022400,0
cosmos1wu552pladg4lyl4l9nyfdsnwsysl7j36xqjycz,1067.55,1626113179,0
cosmos13k6qfw70078hzfwmnxucaz22tvfst52627cscn,1019.579949,1630226484,0
cosmos1h4j8r3wzf5lkkvvdnu9fulh7qpqpwu6udx7kqf,1015.020309,1615213861,4
cosmos1a8z9srg0xl3fnhemj7x7mc7g83hlt79e5xpzqv,1006.027602,1617683066,0
cosmos1ztfk3dglwhskqyktms2ts4n8dgq62s46ug6s97,1001,1583038809,0
cosmos1myqxl874yh9dfpzmwzkrp394un4pzzgquvvpl7,1000.998999,1576022400,0
cosmos1c85l8j69ccge4c3gxxhlmkdy7dvhqskecjx7u5,1000,1641452734,0
cosmos1vg5x55g9s0d3lhz2dspuup8d5xwftmyys7gswv,1000,1641965826,0
cosmos1treczrfhsjdvlfvcgldt7d94wj4vhk3rz35eu7,1000,1614932250,0
cosmos1lzef80fkrqlj02am55yhasas4np8cmtrt0jyv5,999.80001,1576022400,0
cosmos1vvln3gz58r3nexrm76msfp9rhr3dzclctuck9h,998.774406,1614331942,0
cosmos1kyjhauz86gnqz93gvx82wwqruafqnseeehqdwd,994.692349,1615396103,0
cosmos1jaq6rn09s4y8r4dmhwgtztecyd5w7tct02du28,899,1634819430,0
cosmos1k8j0q5lrpptneswrld5rltkfq7hgxr7jm67xxc,822.339737,1605183352,0
cosmos1gg6see7tn2sxylz6k9d2dv2vhh7w7qexvvxmwp,783,1628805985,0
cosmos1z2w333ttrqhkvpu4x9v059l7q6k9avcduce8rm,770.100041,1630900208,0
cosmos1p0c0d7faqjlhw5y07kxwppatahu22wdf2mwn7f,764,1630867507,0
cosmos18snggy0cxl55f828eaw2z4nndcwrkexkgdkwpv,662.930039,1617716415,1
cosmos1pc7cqx02n2ps9jg5af7d6tq49gmhyttgk7uh0g,623,1618924119,0
cosmos1nzhl8q00j9z3ad35vuwap6m4zgpwwy0kgeh6d4,623,1607099695,0
cosmos1esvv9uvfxxxrjw260g2e5d9g026gquwy8qyaq8,617.082307,1635110927,0
cosmos1yalfh8w3cear82r3rn5c3me0d7z0krv43ccj83,615,1624469248,0
cosmos1zlk34saru8w6w667r7u0nvtkfkr2g4rwg3rprc,570,1595383196,0
cosmos1gnx6wfuzrh8tgu29dwml03fda76fc2jut25x30,569.2858,1645014331,0
cosmos1qgl6ej904uyetmefu54a3jrfgw84fg9tj23l9h,550,1644586506,0
cosmos18up7ru6kmxmshmmwenrt4sd44j02mal9tf8vk8,550,1644632510,0
