delegator,amount,since,delta
cosmos14lultfckehtszvzw4ehu0apvsr77afvyhgqhwh,1800000,1576022400,0
cosmos15hmqrc245kryaehxlch7scl9d9znxa58qkpjet,157614.555255,1619739138,0
cosmos1y4jjwr9d4w0dg8wve6fn9wfgrgr3armjv2d3p2,75780.735571,1576022400,0
cosmos1jjxxxk24u6ju5h02p4g3g78l0hmgcnhq90f7xx,75230.72819,1629254585,0
cosmos1qwl879nx9t6kef4supyazayf7vjhennyjqwjgr,55100.000001,1576022400,0
cosmos1gg5tynt57lf9d69crj0vzf3m6rsqelz46xntp8,50000,1576022400,0
cosmos13239n7w26vdgk8u4rmdp97wkrleupp08agjcr2,35180.827079,1631603043,0
cosmos1l4l63rqsswu88ja9ws688r6xylq35zmmyjlr6t,20000,1606520639,0
cosmos1l72ggdcp99y6z56g4g775a07ff8f3dx4a60ugx,15000,1576022400,0
cosmos1d8mfs4akwau0nzwsqgacw3z3m3hw3ejdvzh58h,12000,1616079664,0
cosmos1k3nl5sexc6llw8gfwpzwvref57rtsrz7cqsr8g,12000,1616079398,0
cosmos1s8n824e5p5chavmq6j2se3npxyquvxttxy6ass,11500,1586464699,0
cosmos1m58ngkxuxrqvserak7crd8yhlkplhzczup5eak,10133.319392,1645506610,0
cosmos1ntp3hf82hd08cvj4wwacwsarx0tk6wggyt8jmn,10000,1597825660,0
cosmos1mgp3qs92rj58yv90a82a4s4xjc7xw4qew8thcj,10000,1641497447,0
cosmos15x7q0vzmksgd2y42da9cfhrx3uc8w9sp8285yf,9300,1613532384,0
cosmos1ga70jy3fegxynzck7umquh239jth3xf8a5an7a,7557.013324,1635801385,0
cosmos164jqcw408r27s624scqdzckv6wt8uzrag8r20w,7518.2,1576022400,0
cosmos1fnyc7turvw78srr9uzu427r760ry6s4dknvume,7008.221173,1633184757,0
cosmos1skgg4564kke7ufq4swwxc8txwm2gcjked5qycc,7000,1576022400,0
cosmos1yglfznjlrdwq3n2wtsf0m2ekrjmvg0hylkh79d,6085,1576022400,0
cosmos1rv6p8d747h46g4pmqxferhkhx2x7wajs8anvc2,5088.191176,1634886064,0
cosmos1th5psrspfm9sam0k0d2tvsg4gkufccm9tzpr3g,5000.005,1576022400,0
cosmos190cz66z70lr9lsv2dg3wj0lajmx2ma4gqu42wk,4206.965972,1623769520,0
cosmos1l6gz5zk8k8s87emf4q5jlr84gp3wq8x3y6lw7t,4095,1602790997,0
cosmos1um3et7dhwu3lx309yen74rctjy5xwftahr0wm8,4000,1639325271,0
cosmos18g6j4t8hyxyynv6x0xapzespkkaty242vt5an6,3850,1637127949,0
cosmos1t8cw6gasrrg8d4qgcf7ywkx9envqjttwka72wx,3159.224847,1618441540,0
cosmos1svn6kp5pgurjfhxthjcqauwmyfxzw8aqc4nrww,3000,1627244766,0
cosmos1xkc49nyne66dktdhzj46vkza4n5w2yalp96w2f,2964.100582,1627148332,0
cosmos1wysksmkzuv0ptn3yf4w0f0ga035lc4wwc3h35m,2760,1644331363,0
cosmos13kqg3feqvr0ete430mme3jm480ur5z0r65nke8,2647,1576022400,0
cosmos1wwmy50xuwg95238aqe0yn3zwvggjvxq8ld59cj,2542.44033,1644011221,0
cosmos1lurcpu73fvzh53wdvulujyrwefa3x3malksey0,2500,1641622794,0
cosmos125pyl8p6ctvp842ce90gvlegwp53flcmeyefca,2500,1576022400,0
cosmos1e5rpaxhnmqar5eucs4r58ew0cv3u9jvee03q69,2400,1631094735,0
cosmos1ahsgwdj3g8ca6dn7kwhtu029spg9jgx80t67vz,2380,1603297939,0
cosmos1mdjfdca8lg6metwfc587nhn0vrnasss6hm89lk,2233.801069,1619195772,0
cosmos14wz7pnpgzs5k0flccsavatz2h8nwa6n5w43kj2,2220.578389,1624960416,0
cosmos1j7aa87y3pgcla63x0h6796huvpx6zsurzs0zws,2208.697788,1610404605,0
cosmos1rvykxx26ec8vpyt33s5en4rypl8x45te83qtkr,2035.022061,1623459260,0
cosmos1k77ggtxdd7fnahadu9nycpjmlnt87aq4cttcgx,2000.556534,1645277106,0
cosmos16ujj75qfs4kg7055nztenwknfez4xjskq2atew,2000,1576022400,0
cosmos1j5xzx5cutr96t8elveg4pu0yq0jpg28833tq9k,2000,1609257525,0
cosmos1eu43jqq7hv9sugd7endlu3u9mg6ktyygxwu9nz,2000,1576022400,0
cosmos17sqhndtgm233ks5fnj4ehe3j6nkthvyrnk8ydd,1881.222525,1630230273,0
cosmos1k6x0l6x2tkz7ha66m2fxx325ef9ehh068ku8xf,1778.998145,1612901638,0
cosmos1aw6tud7uaz3lpd5uut5h9qa570ae58scfy4yug,1724.001074,1624303436,0
cosmos10v87t8fhch3c6ew6trs0cy2jh99eraf4snh4g4,1699.923108,1645705569,0
cosmos19hl2uwsujyfh35lm3rv0c7r6p64ay3xvy38gzn,1646.340855,1639183098,0
cosmos1f96zpu405kprd4w725my7t8ewrrrer92jhwhn7,1641.682234,1621269224,0
cosmos10q6yumcfdjl4cfyp6vj8tn4g6p97nygxelklm7,1565.894,1644200031,0
cosmos1vwudt9uwttmqgymtha2xwvaaxh6w05uy5thua9,1500,1645223585,0
cosmos1a5rsatuv2gqcwmzfd5w8texgzlms5vh4r0wk4w,1450,1639081949,0
cosmos12u9q6exmnge6g8e2957282hrfw8zkz73akc5s5,1400,1640003414,0
cosmos1pfqvxcjpv6f0tuqhjagmd4suq9k7pcp348k6sz,1373.4482,1644656839,0
cosmos1vrxpk4yfx4p990yuksxe02t4vlhkzmf2fg92n3,1264.889,1612780908,0
cosmos14dmelcmvwq8sefu5tr4atv98u6ur9c20auhmzf,1213.628171,1576022400,0
cosmos1fd54p72kz9gv2kc2ws0g7yum5zvw74mm59hjpp,1201.71703,1615496975,0
cosmos17l6ls00agfzuekqrapxk4gkm5rqp4cwww0jhjf,1154.48883,1638802455,0
cosmos1y6d6gtd9tgf62zmqvjv6aga0rnyrf07dcmye29,1123.759196,1633808889,0
cosmos1u9emkr995k6plzpe5ry27tvjmag8pv8f482lm9,1093.407692,1639001125,0
cosmos18f88z0c0e4665c9fkjcjupnglm59khfjmnsu7n,1091.997889,1616261507,0
cosmos1gaq2u37kulp9refyx3r66j02xnfzv427h565d0,1091.44135,1642843243,0
cosmos18j249nuqwey5dvsrdg3ynjrytr0qpx5jcvwwaj,1074.005999,1626286409,0
cosmos1vlx2c3vp8w0a68h7nctu9smhwqr7uft7usxsa0,1070.76515,1612475612,0
cosmos1x4jacndkxvkkllymqcqtku8gjlz6uwvn69wdha,1064.368016,1629523898,0
cosmos1uat670n2qp5knwf05zl8rytdwkwck83asesfn0,1048.839,1636092291,0
cosmos1nckqhfp8k67qzvats2slqvtaf3kynz66ze6up4,1032.650083,1576022400,0
cosmos13s62l9mz7k6279tffawctk956u98a6f0tattf8,1029.689444,1613610733,0
cosmos1f4p0484gz4ts555hz9294r3cry7vjx7tu7l8hh,1022.285859,1596040836,0
cosmos12wjk935zch2hxx2zttzn5hfd7x2trz7scrnh5g,1018.261994,1630425991,0
cosmos1atmk204pnyl4wxed03llpux4vsw83tg7gs8y6c,1010,1622056434,0
cosmos1rvfak3t0gpa9v3wrmndg8kcuweheachqkf8d7a,1007.881232,1636127934,0
cosmos1u0w4etfpkwlmqwsdevvvdys0xnu6yurvxeclss,1002.705402,1594190959,0
cosmos1lzef80fkrqlj02am55yhasas4np8cmtrt0jyv5,1000,1576022400,0
cosmos13ae89v0xk28zwp2nd83gfcy9dhjeey5y63cxkl,1000,1636974990,0
cosmos1x49khufuh2c9q2vafwd03cajjr7mn36r7v8zqc,990,1617356626,0
cosmos1xuajvnt0r0p82zcvsec8c49yumyhcv32t767nn,977.843614,1593683793,0
cosmos1wat775df20tar8lfe3lwr467wn24xs6gxd3k5d,931.308051,1615990341,0
cosmos1zlcrremkf3a06mftfn9sn3vxmmw8c33rpp5laq,902.8,1584283851,0
cosmos16eycdwvyy6yymhp8vd4flm0tfansvjt84gq5qr,871.673631,1602376479,0
cosmos1pnmy6j0vvq9295lnly46gvt7z9r9ws78qk4450,862.854,1646155929,862.854
cosmos14wtwsmppppvyhnqfqj3u8xn9fcr7yhxwsx6s58,850,1643408736,0
cosmos16vce56elyweuw804u686f9jhehz7jdrazhl6et,839.959905,1630889429,0
cosmos1ff75h9qvl0ntm4fme3p8ffqnvww6sx4mmm54fp,801.884,1635955157,0
cosmos1ks56lld7ahdpu7z5taanwvsumpqcyhygdemnx4,773.079048,1598155768,0
cosmos14w5y25d07gm35lzqyhf973thqcvywnu8ssatwk,771.905457,1626711402,0
cosmos1cxer7a54gza2xkqamd2zx2hn2v3ed35avck5hc,740.519295,1636737805,0
cosmos18pug9mrsj70pkwvgw6vhw0v8s4ufk6frnv9kdz,718.488553,1639232382,0
cosmos1ss8lur5ucyqmqexn5tudnxkxn0x7mhtg0tew27,715,1616433999,0
cosmos1g4hc38rrffnewpyugvd8ptycxrylzk008rhrdx,707,1610762514,0
cosmos1vph348susrhken59h2hsrwwpydkk589kynz036,702.095578,1645239010,0
cosmos1a793zvk25tya4z6fqpgrx30hj37kttyjv8nhgs,697,1636287676,0
cosmos1uz75dfajpppz0fptmh294yg0g0gjy8lgncf48s,694.894,1645446329,0
cosmos1qg9e35n0guszp7n34903saqnjsv5qzyuv68zj5,682.629874,1622223127,0
cosmos1su9lef9lts9agy3jwfwpaez7lxv7t0nefcke5z,666.51573,1629570909,0
cosmos10mlhzpk3yl7vnae00hhclyga7k0j0th6jp4z7m,615.838758,1618959818,0
cosmos17dh3lgj0rg5qyzsnjl9cfl8kj70ae864t0e9km,614.196386,1610976286,0
cosmos1jh3df3l7fyejqgef0uln3cexl9vn3zhyhu7np3,602.843924,1629680357,0
cosmos1qwpnhcg4xufanjaxxpmgx9qwuk64x5rdmxjszl,602.4,1627229735,0
cosmos1k8z4lkvrxqlvzmd0cafwv33n8z7492rr2td0hm,600,1643577020,0
cosmos1cctz0wrdn92up524ytjwm82wpvz2wsev4e5qjn,593.616743,1597661107,0
cosmos18ca57xuvcd95fzpr842kd0u44mvs0zrs504gh4,580.025185,1612181980,0
cosmos16g2u2cyvmev4dggt9n9hlek0fmaw6cdmmu7u67,576.643781,1612783179,0
cosmos1u748guxn5mp864ep55ys3l2ejzm2k8kwga4zp8,572.339107,1631530686,0
cosmos1le3m4duwmwa0za8fs54z47zupv27ru2jmzc5sy,562.806814,1638804672,344.827339
cosmos1g33xkn3tyjlh3jhr6q7wl9ugs2sclu0y9z4rah,562.572248,1624070589,0
cosmos19up9zfnkgc888230qmv05wn4r889f68xpxcqtf,560.196284,1644780247,0
cosmos1kvh6nggq5uyz85qvf92hftstl96dxfmu9l306h,552.851487,1576022400,0
cosmos1znww7wjy3qq8hqf9fg49qln7lmdgdpmqulxmjk,548.617678,1598684400,0
cosmos1nly3zk2x3vfg4u3kvctuheqrshxcjxqa98jd54,535.216778,1618940737,0
cosmos16s5q9he46qyqzwg9fn9wzgdpzjydwzhajud7wx,534.711423,1619484788,0
cosmos10dfg8l9c3y52zrvpxl6q4r2qqj08qnr8hpu24a,525.69766,1644965229,0
cosmos1uqp2gwghwq3ygy4x7wsaeyggtgrpzkt7565dsx,525.412031,1618250836,0
