delegator,amount,since,delta
cosmos1428dpgezrcm40j72rljuvsqxth5j5p8n8lk4fj,304272.975973,1636202565,0
cosmos15hmqrc245kryaehxlch7scl9d9znxa58qkpjet,220660.377357,1619738428,0
cosmos1gdgx34jhu0hjvaq5wuzwaapa8cg8mc2j8dp3rf,194663.704828,1594388793,775
cosmos1lt83tymrlkcg7jtfrzv5370z9uthttpvhf4jd7,145000,1645105435,0
cosmos1n74enedgvq5p9nwazlhm3w2kvaemlsf4setkdr,59223.27344,1630293721,0
cosmos13axkauxjxulmvjyskppf8kxec56fyl96njm8qq,55177.642783,1594840886,70
cosmos1570zgpm0dx8965pk9rrmjv2tllfxmnrda0jkuk,50000,1630890947,0
cosmos1ljn80ky79cq3sv8gv80prmne3esyuxguxqqprj,40234,1603800350,0
cosmos139ndp3cw390h252epn53llwyjhek872sd6j7k2,32000.229363,1634066440,0
cosmos1sa54sdl5nrr6p5d0ksrceapur7f9awf2s6jjhk,28200,1636098854,0
cosmos17zp8dxwj40kw0998gv6x4z669cl8dsj350m6mk,27221.663,1596075104,0
cosmos1kn8qy5frp3kerffgwzxtuguae7k2nwejcr0le2,25501.990643,1620820773,0
cosmos1lgur3yej7qtr4erlqzxavdpeqqau9q0h40rmeh,25245.099999,1630448585,0
cosmos1vmnc8x6vmwp4sfee3mraxfa4ykglv0zhxw6sey,24000.000006,1630252304,0
cosmos1azcypkusuwxreqf8zxaztyp05ww0y2hsd0ykcr,23593.466449,1633572031,24.612433
cosmos1knmgwck0zkmxc27nzfslr8s74sf6ktn3pvgfs4,23062.378694,1638916193,0
cosmos12gmypr6yrv5ze9kzknl495n3ktkvql6ggfy4xe,21968,1644826864,0
cosmos1vwtv6ryr49usqxckhd8awk4yl6ghhfkcjzag4r,20673,1635698655,0
cosmos1nkrsk4e8jlfaprmn282zulhfvw00gagyd7k80r,20000.000203,1630251899,0
cosmos19w0364wlwwcye76fcewjww2uf3ryl4uad3y0f4,20000,1619453250,0
cosmos10rsp2tdhk4pst94qx84pvgrl08mkdf62g56qh9,18571,1631206022,0
cosmos10xjmyvkaz4v7n8mu498n54hvrkgzuyeafhtrtq,18301.000001,1630412832,20
cosmos10n4lwkks9ecu6flr77erpje8rjeg5dfnz4mlte,16876.7,1629308685,0
cosmos1peq96jqmp9anxft7plu9qp4cpz4yr2k2zc28kk,15467.208656,1630569295,11.35
cosmos18npp0s2tffdx29qc0wrw8d48xrgcx2apw6dmv4,15001,1630281011,0
cosmos1ypakuerp2fz5resn74cngarknzlgj87sx3ph4k,13878.575435,1630359240,27.915711
cosmos1um62ve4a6vnsdcnquel0dmt9ly5f567aq9dukg,13000,1642469136,0
cosmos17740gzwqt6xwkgchq4l642csjv3kv92evmh7ac,12495,1631102313,0
cosmos1mrdcn27u8hckp4vftx5kz9u6mvlcaren6zp0a5,11352.6,1635608487,0
cosmos1dchyf63dgmwcgp36kz3682y0cy4h5ze6x3g6tf,11060.905986,1636051315,0
cosmos18fy5fw60pwrunvvqdtvhpn50pk74vtr95nmtfe,10600,1644750962,0
cosmos1dj3j99rljeyxk0xq4qce2fj6ex53lwstdt37xx,10486.8,1639429193,0
cosmos18fzqwy57q6vh23as6vh9kqauvugpkw9krftqux,10280,1638283297,0
cosmos1uunpjasy0es2ywe987qwmyscajtnj77vcukatm,10000,1601070500,0
cosmos1lujhkwkpwnsems37697fr9t0aja5gd0sjsxtaf,10000,1635456615,0
cosmos1qxprregw2tvclv5ecg23u8cm8vwx500aumvuz0,10000,1630369025,0
cosmos1gk6py8fukt8dnaad00atemjqjlhjlwv9rgw6qz,10000,1610132825,0
cosmos1wk30uz6drwuz7vkjrml5jthn0c0m3yhdqruu6t,10000,1641547296,0
cosmos1zgxrwk9xxxey70j88wzat06wj6usjzudgz6qz7,9859,1636046390,0
cosmos14edy0mskwzyen3g6p3w8tanzjm8e06kxdpck44,9781.548335,1629340203,0
cosmos1wnc5emxmftn2kzrjpftu8eyraffc5cwfrnj2zp,9082.039368,1597541204,0
cosmos1r8qt0k0t7kywdndjs2udlem4j7m2yk29atxf78,8817.346373,1638282056,0
cosmos17vz8hvg96lddwawdfygvu89ua4v7qgd6f2g44k,8000,1629738660,0
cosmos1tel4alqtz8y3pkgvezqaj2hpusd8sav55qm3qv,8000,1597434097,0
cosmos18a3579c6dcjlsf4dcj3qp7dna3xga2gjwdx6pz,7993.5,1632673077,0
cosmos186vrvcdwnv20jkh98x48a7yuevkymjrn926t2r,7268.929481,1636046458,0
cosmos13sc66ae36a8m6zcqyg8h63t9syjeg5a7cv3nvu,7195.011899,1634969864,0
cosmos1m6c3svxkajv80m9svaqdnm5ph0t07xkf73x6np,7161,1634221224,0
cosmos1uks7drwhwww20g838w3kjmlz4quladge3uc2w5,7049,1630411315,0
cosmos1u5vc8p958lysvfzvr7fcnwe6zhtr7h6yrmf79u,7000,1644000115,0
cosmos1drj8uemvdj0xtzahzv5hpf6puamh6n9e2n2aup,7000,1633815757,0
cosmos13kc7vs947nf4aj63yzcc9a8uwmymtgscxmln7p,6843.949019,1636193441,0
cosmos1gwtqpgfvyx8kz9a9zqmrze0tyt8ls5a06vdd5c,6592,1634196457,0
cosmos17hzgw0pg2uqpdgjedlcx8z0t2safs57ep33v0q,6581.300054,1638403366,0
cosmos12sczd7vmheqat355txqducgm6fk86ye43zvp8m,6530,1640047253,10
cosmos1nctncnw3aewxsfz7kq3mgh6jppy027x3wguquz,6430,1609866906,0
cosmos17zrcp2cdyarcmrc85h0458mmp0p0xzlyxqtefv,6171.585663,1636811603,0
cosmos196mlqrfcnk7c24kuza6hyp92s0rzkv6nyy3zps,6000,1644966200,0
cosmos14ljvnyvx53m2699egxtvctd6j9xve8nyy7sy90,6000,1630226456,0
cosmos1tqa7kt5vkzg3x5m64ky8x2lrv2uvlqmss83h4t,5934.886593,1629845154,0
cosmos1ggck7xagaq8kau8su3qvzrsv4pnnhrvs0nzwrl,5912,1632466427,0
cosmos1fu723qk8z8t0qf25urfqm8qvkzf5pjwc29uhcx,5874.4,1615517716,0
cosmos1zv53nemw7hw7ks6f6vqs3hflyu36f0793snw0p,5833.793346,1635781420,0
cosmos1qsjhtgcnm88asrkj86dsy3hev9mhtrn5rvj43h,5300,1643907724,0
cosmos1mk8kvqsnge6e3edpx38dqnpn39zmqlsw46fcve,5100,1630288329,0
cosmos10nfznxckxnzh6z9f32k4e9fm8h8xtm345upywc,5093.980454,1602766400,0
cosmos1hkegzyugepyh9jfrvuujx5tffa0dvpptl9spzn,5093.172526,1630941104,0
cosmos1tv6zkzzmutqh3z8pnptgy95tvcmxfvkwp2nrus,5086.248017,1641351289,0
cosmos1w5sewyejpt95rfvtf7tt3x8z8vw2ngq8ny3l3l,5021.029085,1631630333,0
cosmos1q5r883azzh0n7v377h6ehv87y7xm5yldrh4f8w,5003.000001,1634123027,0
cosmos1vjqrylz87k8496r60h0a07j0wkacj4ayah4vf6,5000.000001,1627461898,0
cosmos1vudtpjyplxrau4822u4uu9kfkavdfxg4gzms7a,5000,1636403314,0
cosmos1sdf80g92at333j0r3hfh3ksuqgpg4f07y22d88,5000,1634119151,0
cosmos1gsntsyym25rc5kgqeuydutlpuqhgs54v46ye2n,5000,1640193591,0
cosmos13gd97ke6erejqk2p050xkpc63jhtujreyf0fzn,4780.287397,1639677654,3.001512
cosmos1phvddcjw2ng6ma6e46xk6k645wa52d6aw6gpeu,4755.407358,1631289634,0
cosmos1vuafuq42sh7xgjw6y2500yjlm58m3jrj9acuch,4644.020004,1633925595,0
cosmos1vhckgkphxmv5vr6cr39p76wx3rxtnemjs6dnvp,4500,1630140093,0
cosmos1y8qzctkeq3h6ukppfnj22ekpatd0g0vychursu,4488.035,1631839307,0
cosmos1tel8jpgvtupyj3adxn3pzu95zy3g2pf8clndz5,4452,1636199038,0
cosmos17xl3e3zywm760h84du3al2jrfu4dcxsml4kz7w,4398.400001,1631370778,0
cosmos1e98tq47ta6ucp0mndj0d55tn5s5atj77llzvjn,4111.394891,1612790438,0
cosmos1s43l7s99hx627scn2ldd3ey50qpj9frv89zkyv,4030.818253,1629829755,0
