delegator,amount,since,delta
cosmos18zdww6md2ym8yfat9h0aztcts5vad2nh07w48x,4276643.563023,1599005413,0
cosmos105hssfshxkdrj4ycpdd5yn00wmscjyfc6vk6zw,3915428.658835,1611177614,0
cosmos13w3uzqu8yjups2r4rgw7cy0jxe9nya5966j68g,237729.662302,1625794219,0
cosmos1rr542epsr84x5casys5zzca3hwd6jnvmxk4jql,51613.89612,1644354665,0
cosmos16u8dmxdwudreffyjlcg0sk5srelp02qakk09d8,40000.246913,1643145129,0
cosmos1gcuvhzj053fr8darjffgvw0200zf5jgpuyk7sy,34538.579034,1644875228,0
cosmos1nvclww4vl9uplspqy7ysk2988agwjtpt6r7qc2,24156.05765,1629936929,0
cosmos178jx9ed4frvtw37kd09v3hzp6s8yemjdqrqekp,20000,1645791304,0
cosmos1r2uausf5hr23ywz9009ykagvc7ahszh8ygyu82,19473.687082,1603581022,0
cosmos1c0hs7y49tdqmy4t08fm05x6qgw25d6kw2vksqv,12000.703927,1644225495,-3000
cosmos1q70e57h6hcpfnu5dzv7qj6se5wezq8hvmwqk9a,11261.49,1639015019,0
cosmos1jhwqnuyd6tthkjvshud67p36y4tlyl957mddsp,10028.011079,1615159092,0
cosmos1a3yjj7d3qnx4spgvjcwjq9cw9snrrrhu3rw8nv,10000,1580932630,0
cosmos1jtejf97hv7sp4tta9rtxjdwm3g74p48n504vkg,8615.429849,1638482527,0
cosmos196memu35kajwh7qx75rku6r8z8kzkr4p7vkajd,4930.208843,1618535581,0
cosmos1u2um6dzne444zkcwlen98n74dtk5zqlc6qy940,4811.542478,1628799548,0
cosmos1vpce6h2l90rcz2jhh7t2y9snecfvy6gv2ss32k,4799,1620139762,0
cosmos1hl6ltqdrjqylddkfhncekgx6dslmxjure3h3f6,4636.0025,1642112767,0
cosmos1rf7ny04xahfhym3cljdfyuukxzf50nnz5c4gkt,3923.370021,1637793728,0
cosmos148a44ehz5wh3dlh46ak3vljvwj0mvjahlyk5jr,3232.434665,1632607377,0
cosmos1m5vfqlcq5pc6d769kyfapceduma304qxj8shx6,2159,1641243122,0
