delegator,amount,since,delta
cosmos1wlh0f94r6c4y5nwsqlxd2384jmxlljstame50p,500000,1576022400,0
cosmos1wqgn4gv0wm2p8fyxdzavqurv92ehntw5qsf67e,400000.9975,1576022400,0
cosmos15hmqrc245kryaehxlch7scl9d9znxa58qkpjet,378274.932614,1619738676,0
cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,300000,1576022400,0
cosmos1q4xrgp7uluenws5dflmy7y7wlwcnerwzx4numj,172618.925526,1631894626,-259.806715
cosmos1f0zwrlfjjl8twrsyxv22p8jdqtym9njaksfs2y,145910.92,1618797883,0
cosmos1yv8x6z8h7n0asawdpks9meccel4uz0hrhudqf7,124704.162987,1644856890,0
cosmos18jj8eq7xpyqdv9cdxpyxn0ulspmhx424rsfl60,100055,1599218148,0
cosmos127ax4kl8kfrjtl20gyvlumqqsxfp66hj8fqk4v,100000,1576022400,0
cosmos1ecsuj0q572jr0dhu29q9njtnmw03hyu7ccc0d7,100000,1643665039,0
cosmos1l7hs5t0dlypy2eeuvjasrsy35qrkg5kwnmjyj8,50000.999,1576022400,0
cosmos10racvfvrng7929nczcn9uu5ljznt6crvvj548r,50000,1634863251,0
cosmos1v6243qhds86hmj935j4w749g7wzpe6fvre7hm8,50000,1576022400,0
cosmos1jaw4n8p2hsy280lqxk73mkwteszz5vfvu5su7j,47001,1638812839,0
cosmos1r94gmhy8rhfdwl6829ks83jme5s0p8ld9g64e7,47000,1576022400,0
cosmos13asrhvrqalh8txkfhjtx7ngylmwen8zm5lz5m0,35000,1643918160,0
cosmos1l3c4jstap9hr6sym54p8peeswknf89dfc402rv,33258.502233,1613562225,12.23
cosmos10a7evyydck42nhta93tnmv7yu4haqzt94xyu54,30000,1576022400,0
cosmos1n5tpw57jpl7tpfwdzu6v23ve2a9gf3mct3c8rg,27515,1644837142,0
cosmos19rffqqjp7t6e9qkkd9e9g8j9p9cjfddwguspy5,25000.381691,1576022400,0
cosmos1gg5tynt57lf9d69crj0vzf3m6rsqelz46xntp8,25000,1576022400,0
cosmos1d8mfs4akwau0nzwsqgacw3z3m3hw3ejdvzh58h,24000,1616079600,0
cosmos1k3nl5sexc6llw8gfwpzwvref57rtsrz7cqsr8g,24000,1616079335,0
cosmos1f8ytcsuuux0uus0dlklgea7w6mnpf24pz4jplv,21346.2,1576022400,0
cosmos1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep4tgu9q,20424.182506,1576022400,0
cosmos1t3zk4asuefwnc9c98emk82hnqqdl4cs0fgnq5n,20006,1641308485,0
cosmos1h4zvy6wupk9lf4v2yj87v8006yzuf0sy4hw5pq,20000,1591088371,0
cosmos1lzd8cdzfp7tn8cplarlpmxupeup08c59yk2r9e,18120.176802,1635475554,0
cosmos1a2z07pjj95syq2xqxr635qtlu8qpacx87prf8d,15790,1640416563,0
cosmos1524vqafry4kjqaxt4hfhsm2mru4ptnt5wds7c2,15210.808805,1615758215,0
cosmos1pz5fyuj8up8ekjhycaz34gsmrz2qyl06xyje2m,14538.5,1643864266,0
cosmos10wzd0drgcpudme039j22h70dnayra75a2qatxv,14460.102607,1576022400,0
cosmos1sa8mc9jdhll20ed343zraksc3h5j9d02q49tav,14404.568491,1636354944,0
cosmos1my5xxs2pq0ecwnel5pc9w37qyh83azpx9ph7na,13134.066091,1640154531,10.434194
cosmos1pfm7jx6sjw9m8v07am6kar62hkzqazuvxkxpsu,12540.628913,1576022400,20.359303
cosmos1ys7s8x49xev0t62mu5hw5khyv07l7p4fwyhnpl,11000.475653,1616675167,0
cosmos1e7macyvh0azrmtfu4j5zz5dx3x4u5nt0re95g8,10987.195526,1639057961,0
cosmos1c4tn3yvkv3smewlz03vfgrpevcaggtyudyuq76,10710.547487,1576022400,10.34328
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,10101,1576022400,0
cosmos17uwa0e4xm260sddzsjrcucz5kr9l76vkktfyw9,10041.11073,1646130778,10041.11073
cosmos1nd5adhnlng7cma67l3dq4t7mgkep8gz0ycla5j,10001.431496,1625397898,0
cosmos1qnz8rrgad9ezxnel94xqs7nukkxl3h3c4y4ala,10000,1576022400,0
cosmos1wza5cgx5zahphu3gfd2rqpglhqfdjhj6thmkfz,10000,1576022400,0
cosmos1mekg43qn7wfauc29es0jj5halyfvynkf5upgp2,10000,1576022400,0
cosmos1tgs7a0ej04t7k0ywdfhk3lddd7a2tmgvzwexwx,10000,1635599021,0
cosmos1gwuzsm5cccy97gtjze2lzk2jyya8y3xrlgcme2,10000,1643472671,0
cosmos14xusc5g9v4vqk34gtsu89yh6jeqev9gh65ad0k,10000,1576022400,0
cosmos1r7pnv302qhmn0st3kx78jk8e7hrq28700fwycd,10000,1576022400,0
cosmos1u2ch4ddtw2wtrme8mj06yal2py4e4l27djwc4j,9999.216346,1635537576,0
cosmos1928h530ktl5kce7fsazp0khawxt4wwzugeh47y,9834.416052,1620064891,0
cosmos1p8yc30tml755hgy3ur5z4kpzt7qyy097c5am86,9240,1598253956,0
cosmos1jsu8kqf8pv6pf2rcwylulvp73a453q382wep43,8263.823557,1576022400,0
cosmos10czx9wxlt0ttpzcftjrannpp39h7r3yfdfthpc,7533.266784,1576022400,0
cosmos173atdmc8vtx6skf582jy9zunz2qysgfu97kvp3,7500,1641581776,0
cosmos16uq0tmflmv3h3tg33283vd4q46ykrsknr5gu9v,7027.092596,1645059565,2.686658
cosmos1kcv87kenvghw6w65g03waevzp29u2pshznrtm6,6527,1642334583,0
cosmos1j536r2mak7urfju7g4ykdq7tys9edrw8t8xf03,6300.328402,1645367868,0
cosmos1nl385wa7s3tm2uzntnsljdfknjx9c8q2eenax2,6297.1,1576022400,0
cosmos1hxnuxckagux4200mvfs3yd5xhqguterc46wvq8,6200,1603910333,0
cosmos16l5mcp4ar7cl646r6nmy8q7f5ujzxxdekvz30u,6199.882413,1602976558,0
cosmos196mlqrfcnk7c24kuza6hyp92s0rzkv6nyy3zps,6000,1644965965,0
cosmos1lpzfumznwf2f689lvwytrjtex3efn6kse0zn8k,5999,1642895062,0
cosmos1lk9f93dktcd3tjq9yg2svgvj6v6jnak2qu7jqp,5999,1642895159,0
cosmos1gvjhf5mdgax3pkvng9mjhcfec0hfknre5d5r4f,5804.658362,1642894952,0
cosmos1m6c3svxkajv80m9svaqdnm5ph0t07xkf73x6np,5639,1599924533,0
cosmos1gdv7kzg2lvx6k5w6nxq84q8r9z2ujpve0krhkm,5500,1576022400,0
cosmos15j8ktwsuymaayhhfu8qndj0althvjml0hudpap,5400,1635366167,0
cosmos1k793tzkg8xyc29mlet3vzwkkk9wfsahmmrgfua,5257.848298,1580779074,0
cosmos1xpfc05zwa05pvv3rqu5llr54fmw5hyh49ysgzq,5020,1576022400,0
cosmos1f62zgjhla097yc4e9sf5zm64antugnjhg5y2qt,5002,1576022400,0
cosmos1purja9dkex682z3j2xxhz4d9hxrpmlltswhsdm,5000.92618,1576022400,0
cosmos1gmvdcu4fga4kvqdm822pfux7fqdcagxx8daavk,5000,1576022400,0
cosmos1q09dnap4jzspca52gkx79nejw8m5v20qgluecz,5000,1576022400,0
cosmos1nux92kk4t22lmupzy208ptxkv5xhe7f6a78ygk,5000,1642429916,0
cosmos195lfnvs7jeevj6prn5a9ghr563s6tmzlamtp7y,5000,1640501498,0
cosmos150j9auccvjdsquttx0qhawvux2m67fcxw49hy9,4950.844,1640831742,0
