delegator,amount,since,delta
cosmos1dtq0y9reqst7d99fd3c7x6dflh4eazm4ha8qqh,5412999.999998,1576022400,0
cosmos1sejtwjc4tkdunekw5d86h9644qeyh87gsy3xwm,2058862,1576022400,0
cosmos14lultfckehtszvzw4ehu0apvsr77afvyhgqhwh,1556597.77143,1576022400,0
cosmos1qs02d3hk0caqlzh4j23fndfnrr7vtku6tkhts4,340000,1598431752,0
cosmos15ma0kvf0pw4gtaeku8sas5nt7qvw8063cpggyq,80791.8,1620207752,0
cosmos18lgqz5q4kzf6q4aq6emaet0vlz4jzt9jpnpv57,39022.887777,1576022400,14
cosmos1cf89v2eu9mdnekd6unusxyntyqh208qs0pn9vy,37558,1576022400,0
cosmos1kdgjxwdk4w5pexwhtvek009pnp4qw07fls6e25,25213.478404,1645659141,0
cosmos1jsu8kqf8pv6pf2rcwylulvp73a453q382wep43,19194.932,1576022400,0
cosmos1f8ytcsuuux0uus0dlklgea7w6mnpf24pz4jplv,15350,1576022400,0
cosmos1ulskjvjmggnveyjdraz29a3gtf2hzefvxkxdhk,12382.177582,1612945573,0
cosmos1ntp3hf82hd08cvj4wwacwsarx0tk6wggyt8jmn,10000,1597787933,0
cosmos1ngl93ejfmq43ws8w4sxzy7gecg3v9d50vhpvhk,9273.330389,1632224885,0
cosmos1m7wazwdagl4z0pnmlsrseywzpf8hfhjzsmdrsc,7956.346212,1576022400,164
cosmos12n49v2wpc3adz26cphvc4jxr5xmmdjmwe0mcpq,7824,1634212579,0
cosmos13v5fqxuayqc8q7gpkr6jw270dxd8v9l65muw8l,7000,1576022400,0
cosmos1hk4jv2gr7jxds2eylvmnk8q4dp5mk3vnf33nq3,7000,1576022400,0
cosmos1gxhcyw46fe0w062phd4pt0hhstwt9qw20gqxtp,7000,1576022400,0
cosmos14ljvnyvx53m2699egxtvctd6j9xve8nyy7sy90,5499.45,1642321954,0
cosmos1nux92kk4t22lmupzy208ptxkv5xhe7f6a78ygk,5000,1634545625,0
cosmos1cphv3fztxt73qzmryf7efjgkmwu2yjvhwfgd3p,4992,1576022400,0
cosmos1xlyrn8uvq6p78qex3uzjverzh53pulqv39h5mj,3980.894,1646155553,3980.894
cosmos13zpcmzffesteq4pwvtnr7r259pntuvz4ul90rg,3565,1634568594,0
cosmos1c8ppqgs26gy2x4qczjahxqket6yds2gw7fcc9q,3007,1624179933,0
cosmos1yglfznjlrdwq3n2wtsf0m2ekrjmvg0hylkh79d,2999.7,1642321846,0
cosmos1fgwj623p77ec2kpxr22l627hln34pkfzlemz9l,2427.323513,1617950189,0
cosmos167cqz8dtfvgwj9qrce4pw2qljusgvkr9xxmw3q,2135.565339,1583395187,0
cosmos13xxcfv63jdkwxmrgzhwp27khxfnpau8wme5fyp,2124.498269,1613329403,0
cosmos1up2lkj0mcjlfpralwpxug8naaumf7ylrep4epl,2000,1645283930,0
cosmos1275uqcej3a840mp4z3cvh0t9nk3pmf3aw7j0y2,1999.800001,1641609781,0
cosmos1m00edwcxvg6qpvhpyuzwff2u4tex6wuzpdpjna,1830.896805,1596389135,0
cosmos1h3dtupqyww2yyqm3ddhfcrx48pmlakce8welma,1599,1635302831,0
cosmos1hulttegrs53gwzlk8zat30m2lddz9xqq4g7x65,1500,1576022400,0
cosmos180x3gxdyvrrr0u2mhspzfm0gqe5k7szye9e28p,1314.669,1576022400,0
cosmos1hlp8fqlcg5q0sgmady05km6e3ssww2e4h55shm,1188.760882,1640407245,0
cosmos19kfagypqt8mc0tcq76xnwrc6636t4jz59kqudq,1141.006041,1640483152,0
cosmos1yuetds5gnaryfgg5ldj9pvtttwwynshq72rmfc,1112.486984,1576022400,0
