delegator,amount,since,delta
cosmos1h0qdzv3jnyv0gtm4xxh3j3v4d4c6ztrw8lc3nj,201000.047941,1607889582,0
cosmos19m522gc38lcjcrtryht7852zdcf02fy5dl3485,147774.114983,1612767133,1580
cosmos14nz0rdd6pfhavxd5ez9z7r98z8m9feprzgxde9,146316.043983,1635960387,0
cosmos18003m32kneftuxk32cwxyugdnlaak2dqak0tcu,141349.964314,1615262764,1511
cosmos1mfap94z3fn0c6qhsj9r2xzkpl4u32thj32yjaw,117531.806948,1616134464,-48210
cosmos1jjxxxk24u6ju5h02p4g3g78l0hmgcnhq90f7xx,75000,1629254585,0
cosmos1kquk63vg0c7ugpd4n9l2hfemys9kgywwl67vpf,60000,1631440517,0
cosmos1l3jkmmw06tlamk7fqllveeq6wwyr74rrwpde7r,50251.009179,1615478987,0
cosmos19hpm8jcg5srl2m4cw7s3zze9atg0mx4pyygeqc,50000.000004,1645643822,0
cosmos1s0aywgc6rucfscng07fnw0fj836mhz6m8rvxdt,49990.8,1636077879,0
cosmos17y7waxv40n7mn4575efmmax3z900skp07w7any,49440.660293,1643620538,68.705461
cosmos1jrqkdvxjzfst0t02s97uf3ncpevm4w45zmqe9d,45308.590697,1626607504,0
cosmos18k2jcmhlptj4paz60lu4dd3rzug7gkr7rqf2c2,39843.175,1635195699,0
cosmos1ndgtmchp32nj3mttmzvhsenjgstc975373pwxx,37187,1640944995,0
cosmos1gtnzl8xst0dhylummpsqrjcmhq9dxthm33679f,33333,1640948042,0
cosmos14jdmyvee259myjayxvm2fvp4ukqgd73heq3yxt,33213.674378,1638292316,0
cosmos1axpksc73wgeh0c4r0xa6pqmpg774nrez7pr3ec,30000,1623749224,0
cosmos1e08waluawedh4sxkzugqqfsjed37x8dqryn8tp,28000,1638413694,0
cosmos1cphr6suj8xm8kglfj3g79cckhudyf7jk66phay,27322.433354,1618555725,-24441
cosmos1lzv3s3q9ggrq2cp3z3kph5m97hzlt4y2we2zfy,26810,1612625691,0
cosmos1kncjq9f6g6c4vzawu7lwfwkpxxluce6j2kl8qk,26000,1640918947,0
cosmos1exnf0kq2jwrklp4k2aaf5ct7xd3gvvhxa8fmur,24137.801275,1598949823,0
