delegator,amount,since,delta
cosmos1nm0rrq86ucezaf8uj35pq9fpwr5r82cl8sc7p5,7312853.357801,1579682629,-87546.703577
cosmos1un9nv8rasjl69cd9ucegsg53qw5q65n5tck7d6,1490,1644500204,0
cosmos1jyga73ew94u2s6uxlrxsctencz9rdg3j506rng,1155.95509,1644488146,0
cosmos155httc8cmhzsutakssa968wvr7s4e90ukk0an4,1149.6705,1643290989,0
cosmos1zwdtq0v9fxscj6tww4xaes8p5g9msa96xprj5w,1000,1640656244,0
cosmos187t628hzkugxh6ts5z3tkfm7f5mh4kjqawvkar,590,1629991944,0
cosmos1hdvt4sfu9rjacprna8xpvjd36sh36my3es8pez,581,1636057820,0
cosmos19c9kxcrfelamkrvvnmwztwr289tgccdsx00jry,538.3939,1644499401,0
cosmos124c2tylhtnqkcx8k36d0padsvhr4y5jjadmvaw,500,1641907911,0
cosmos1pnmy6j0vvq9295lnly46gvt7z9r9ws78qk4450,500,1646155929,500
cosmos1p8lgmln6tvhr99yz0l4sedlp587ze2y50s3h2k,400.62771,1646018056,0
cosmos1crfr7jfkrvq7vj2kd05rjpreqfmzjx063evqjm,305.336628,1639850900,0
cosmos1024mx306xhy6q0s7f2gdqq097mecguwsfqrnkw,300,1646230616,300
cosmos1mcu63zvekuwkazmjxfgpd905cff9u5pfsqxkhr,282.00156,1645968918,0
cosmos1gzz3h2dppex2fnk60rtwdzz7jf589r6263xdrn,265,1645339790,0
cosmos1fxwe49nqqfxtjfa9ye3rh363lwjd86q40qmw7v,230.027315,1645618459,0
cosmos18qckrvfquz8p3pehfjr7g6p8ukkyd2egp4tps7,222,1642600510,0
cosmos1lperdltg4n2y8q0hge5ucfrq7j9y4xtwr57rpl,221.926419,1642870159,0
cosmos10t53jyu4rsntkgmlraltk489wwgm9lgaejsdmj,201.037112,1645135195,0
cosmos1mx3qktw084vy9ggfjvmggv4naqypjz3wdafuce,200,1614307802,0
cosmos19x4rs9hes4cudj2juacrq6m2qwxungd9hcyht0,195,1643945736,0
cosmos1f5lkcuxx9w7zuyudnuzgzdr6vre6q3q99n55yw,189,1645225042,0
cosmos1zaz6dfa667wa0utq724hxzmse2vz3kpjykqhmf,185.47892,1645993931,0
cosmos1hdkg2lm9g2uf8tmruy6dhdhsn8q03j6g830fut,181.248382,1646185892,181.248382
cosmos1pa6cvxv8ueqc8vptnx77gkrffe86ge2v4qne8n,173.004131,1646072092,0
cosmos1hmf3mf994fuyrdvntzvlus73zg5qkwx3a7spf0,167.366654,1645659673,0
cosmos15zncaaa5anrkskn0mnmp3ggq496vyxxf07pfmd,163.6,1644174543,0
cosmos1eap97m2n6xjqrqgggvhsr9ruglfgzjlrvqngmx,157.122019,1645904466,0
cosmos1y3ka0395hlyf04zkpepanh253934ganv5wtqyj,151.514285,1605218192,0
cosmos159lq7zfedw59ffqv8jmetp9yv7z5gwhfm8vt26,150,1615408400,0
cosmos1kengh8xphz09hdarwe606efhrlxr5jd3740d48,149.225734,1641159600,0
cosmos1c75um2armempxgas3u0f8pxjcgfr975nj4zkez,146.64875,1645896410,0
cosmos18pwnyhqg6lry290ctx6sxyzpvkdhq7w8sgr427,140.99,1606710193,0
cosmos1lujg2h7j329dxnest2t0jgxc9x6j3adyp8xa32,140,1644447064,0
cosmos14r3zhqtw83uwr4zaeplxulwuljgm84ljd7d69s,138.303794,1639075918,0
cosmos1mj8sv4hcxq4rd6e0jgsvf2qf6mzk7z4jnfflef,112,1636852136,112
cosmos1uwekl3sfk5xlm2nv7xxal8807zasgqe4qgktlz,110.019898,1645759170,0
cosmos16f7r88mjnjlclvflkxmtz4lg8cnnvjqkymzerx,110,1643279664,0
cosmos10gnphl30eaej8rz2e24yza82uulruq0qxq6zm9,108.873472,1643105570,0
cosmos1errc8fth4ssn6e5r8xyqajc3hs496rpmnppmwd,108.28875,1641399164,0
cosmos1uyn79vs5er8hny0vahmwrdmsx2uvfdlgpvkg4c,104,1632305199,0
cosmos15v0f80spr9jxzp0d67c9kafezdfp5hn8upaams,104,1615344875,0
cosmos1y4p53nwyfem835ss6cdlq0nyrpjp3w97lld7q0,102.091855,1635382392,0
cosmos1zeapq2zusejjw2aadv9xjt668jwt606yrclgda,100,1636851469,0
cosmos1hhf6ea3ytm59n2kpt435r8k70npl2zrzstrs0d,100,1645640693,0
cosmos15ee59s0ugjsq285zgq6dnel5yyc9lxftcrdg4j,100,1643641301,0
cosmos1fcfartyh773uf2vu5g9s4dlewuhszmympcycr2,99.980001,1645571619,0
cosmos1r9ljcmr4sal6tpvsveurpchtfvqukwp062m27f,97.183634,1645292633,0
cosmos1qrun5zz6p6n6wz2t5vyzp2ny9cd6893zsdlap7,97,1637859202,0
cosmos1znngqn40dz4hh04xn7qhftc8dcuqqvrzjx0glp,94.05535,1641009819,0
cosmos1xv36revdhtvcqxtg5g7hmjye794zdfx5x5avy0,89.805079,1641788537,0
cosmos10rankwvv439yk83jre2r06ea3l89vrx9ej8cey,89.040725,1642781401,0
cosmos1fghny6lzrpgr9232wxz5s58zypt2c8xmruu3w0,89.023801,1645914264,88.130051
cosmos1yn34ahre2ag0updfz2dkag473erv8tpd9sa5ty,80.204599,1644092865,0
cosmos152t8p5tm0ul9at2ylg2xtrl693kgpfqp98ye9s,78.105908,1643284216,0
cosmos16zl4y5s2xwla6ava2n84vgq5ujmkctug82hqe9,76.65,1615510404,0
cosmos1shdw6jkt4hawmncvphz8045k7k46ruk8nc3s95,75,1608850006,0
cosmos1gytw67c73545vwt48s9rs34ftez4nhmaznt4ny,74.7955,1642320259,0
cosmos15mefzjggzy08xa0cr5cgm3q6yz8lkqr78mssqc,71.031313,1641582919,0
cosmos1fessxr3j4m26vqt22exqctm9v8c95u0934a35v,70,1645341379,0
cosmos1g475da0j9jv0kjpjms5et0pnn5gkgz8tce55sf,69.92875,1642385098,0
cosmos1tvlys8xh0muqz9vg8fyye0gmm9da03ls7atsg4,69.20875,1637878789,0
cosmos1v8ffddt6pg3p8whwgrstjw0u5cjqa9vrgnme4j,69,1607068554,0
cosmos1dcd8znmam3lnnpgs8hdsgmnlgsc3vjn535n3m9,63.173936,1644686646,0
cosmos18dn5sztlh843gz929snea68d425n60zv9pe4jv,62.929843,1635845906,0
cosmos1k4jms074gxczpn42dapvhnzc7snhm4ce4fluv4,61.751,1615225360,0
cosmos1vwuys0qg7vr6k5kxlja3d007rhfz59vu9tlh4d,61.13575,1646169913,61.13575
cosmos1m6xkcx4anz3upnklt348sk0rlwrp626fp7c20e,60,1641591098,0
cosmos1k4g080hyywfmez6qjgcfplqsa0sp4x4xwm7cds,59.97625,1645330120,0
cosmos1tce636krrzh94p99lgvkkld7kaxmcj8p3cqn4d,58,1641822270,0
cosmos18usx6t0szwxuuq5c99yarvgs3avtuztagj485p,56,1645347792,0
cosmos1l3mw3c0ad6j0hzdlk5dw6qn8yuwrjyghgpp2ck,54.15044,1615498933,0
cosmos1c66z0aqxyehr4crn886yf6nvydehd2j38y4qjy,53.315473,1644713466,3.315473
cosmos1j9jxp80f2l8xuftv3e5rk43w92cf9pxv53xs0t,52.812646,1641110895,0
cosmos1gjvast03wa96868cyk7ktvfg22crg6349h3nll,52.73229,1646106456,52.73229
cosmos1g09tqjydmvdsh4a8sr8m4c38a8temph2j5y3uy,52,1633903633,0
cosmos1s5xa4ffezdynzpcj7d5xtrtm6jy52gsqnnhraf,51.98125,1644900760,0
cosmos13eja7xwm9qgysr67nuqws343fy3rx8qywgd087,50.376109,1642392483,0
cosmos1cj2cm4y5aagga7dr5vrlhzhuyfcn90u007m0n2,50,1641792950,0
cosmos18d55cwadsyhxegm8pg8nrw8z9rktlut40uraw9,50,1645351234,0
cosmos19a7gz0j9zrmgtfyc8gtj4kr89alhsu52zn9yj8,50,1642582450,0
cosmos1s9943acpu0qpfypt6kwh26pt93klf6htpyxzaa,50,1621525499,0
cosmos1ueu7v6t7gra7jpehu0cjjyc5ry80jxvldz96wm,50,1641556480,0
cosmos1c6xugv5s9mcwu5jehndy3dvph4kt75jgr898gg,50,1641985754,0
cosmos1cj2cm4y5aagga7dr5vrlhzhuyfcn90u007m0n2,50,1641792950,0
cosmos12lvtpduh739ueju0xkrsg48upv0rttuvfy6pmp,50,1615919258,0
cosmos1y8fnve5hpqt6xejgck08kddgwc4th7njqg28vx,49.9975,1645936839,0
cosmos17updmpyd20dz5e64mapcx4vchdllxxegg2xlzs,49.9,1638685690,0
cosmos1zqcnz0ephhgp6xnmq2znyh2623juhfkujccn8y,49.894,1644508144,0
cosmos1g5na52lgze6g35lx5zl7v8fyk79c47uls9uedg,48.7178,1645559443,0
cosmos182qptx628p64mqg2gmj780uc89m7mcsz3pp40p,48.59175,1635846224,0
cosmos1th4zgu78g625ett0ea0d6rthakjvrz6998hvs2,47.408521,1645735811,0
cosmos1jjmzqqh0we6q9q005pfvn6vlgfjx9fexv3ps3p,46.917348,1643817068,0
cosmos16ydvr598afnzd8n9tjxsk586wrezuftjrrx23x,46.020047,1641903730,0
cosmos1qxvk3jj7cx0svwcrea0p6r7dzzws5mxramgn9a,45.39055,1620474875,0
cosmos1wuxkj58rtf3ckerqrgf5lamd4gsxk3pwavzlqa,45,1606352582,0
cosmos1zqnmm7qtg43c6a4afdjpnc8rjtq5x5vx6a2sn2,45,1605877804,0
cosmos1e4k2zn3w685py4my63nc5w62ult5kgut680u8h,45,1645842808,0
cosmos126ffsy5gv0zmelqa9yrp3hny7ltjeguhgjkr69,44.99125,1642525132,0
cosmos14j5q6a4cda5ad4p6s9h5necfvy2eq05qs25x94,43,1638287709,0
