delegator,amount,since,delta
cosmos1fcyx472u3r2cg90zufv9pludp8r6scfwu2hnhx,3000350.000063,1576022400,0
cosmos1c0829zzzlm7lujdf8nn3mrhmg9zjugqnrrtzdg,232650,1626433555,0
cosmos1lt83tymrlkcg7jtfrzv5370z9uthttpvhf4jd7,210001.61758,1591954089,0
cosmos1e3r37jr5pwhfa8690psfmly7rjnh8pcwqr6rt4,54670.4,1576022400,0
cosmos1l3jkmmw06tlamk7fqllveeq6wwyr74rrwpde7r,50500.195794,1615479341,0
cosmos1xpfc05zwa05pvv3rqu5llr54fmw5hyh49ysgzq,34240,1576022400,0
cosmos1vwtv6ryr49usqxckhd8awk4yl6ghhfkcjzag4r,30801,1614421281,0
cosmos1g6hp8n8mefwmg8x3fhg4zc33d68rgfp84szvhx,22651.401,1576022400,0
cosmos1k447djp2qrfk8pl44vd02qdlld2asjeeyxj94j,16200.054529,1576022400,0
cosmos1d8pwj29kze0m35grea4z9qkdgl9e54enrk9swu,15055,1576022400,0
cosmos1la4t7jee73a4zqg9ccs2acjt462qjs5xkls4n7,13805.606779,1580109330,0
cosmos194nez388h7mf9ncs4m8kaxyg23l5pgt9nftqxt,12000,1642841730,0
cosmos1ha53wfpqya4yrp4m6xxdjc9v4lal9t4r89zgxs,11999,1615212795,0
cosmos1cz6q5nys0tgupq2mt99amsltepglxqgwvywusg,10318.870276,1629751777,0
cosmos1hgqfnh60kl8rumeyswkyhunn7mva2qc836jgax,10000,1643288947,0
cosmos19tus6sz4mtaxddpahgcmsjglehqqvg7rsxnmr0,10000,1641829284,0
cosmos1mn43y359scn6agctdcxywmgnqhnu9f7pz3xchr,9999,1634065064,0
cosmos1daqggvv60q2s9mqh9s3cfn5yshh27ksy2rv2yt,7000,1635740893,0
cosmos15j8ktwsuymaayhhfu8qndj0althvjml0hudpap,5900,1618656725,0
cosmos1jatwu3s7aahwyneklzn04rej5spr50yp4xdftq,5000,1633017708,0
cosmos1jatwu3s7aahwyneklzn04rej5spr50yp4xdftq,5000,1633017708,0
cosmos1gwywmna0jky46mcj3wvc336qgyk9u2n3c74az7,5000,1625310904,0
cosmos1zqf35h70vcmfulq8s8aylc390ccp0y7x3gt4gs,4740.338011,1616103646,0
cosmos1pz8el2txp67jpne9dsln8x0qe5nnn2nz02sl0v,4355.046363,1643202956,3.770427
cosmos1pp0xtad9k74hncrdxqt4e779ttadtwc4z23y69,4275,1643270750,0
cosmos1rldfx04r9csugcxy4smc5elcgu22tjltyd4xum,4130,1641964018,0
cosmos1u2fn4g9khru3jdaf9e4nrs6wrjr3thcm4tdugs,4000,1641874373,0
cosmos12s7egrwzjhq3kw2qc0wugy2w8j28yj4l02vcd3,4000,1642052894,0
cosmos1fhjpdy0j0tvhns9s7hvca7pzq5deq3566llf3f,3995.962763,1617141667,0
cosmos16hqxxuld63j5vxdd4t2pmdnkg8dfhkww40jxk9,3500,1645197463,0
cosmos1677watpyw9ytr4qx4ezlfl6ucch2dzr6p0hsam,3162.7,1576022400,0
cosmos185xfqv4z7w2rdzkl3ngfjynpzwht4wasnaqwnv,3108,1640983973,0
cosmos1tqgtntss7aexn0xe3fsyllm79w4y3l2vlc8ajc,3000,1640526956,0
cosmos1psut3wswfp0ft683g78u2ymea4w9kcnezfdrkr,3000,1640960006,0
cosmos1nmqhsgkvacrf55g5qlx3kr8484axt9rxrn0rnf,3000,1576640776,0
cosmos1ywh3tp9yw869a9cpqxc9z4e6q9tmqd8yuj36u4,2972.4,1599408002,0
cosmos1r04mm9qtlgdmzjx35ax3tvksmdh9vyvx9zv5t9,2546.014902,1620106078,0
cosmos17963m75ckf9jxmrn2ec0mj8wtmp4yz30r8sks2,2532.107374,1626425527,0
cosmos15lmugaqt0vhv87r0da2kscvdlej74e6d0s86ys,2500.210894,1609167666,0
cosmos1zyqm8gmermk5mfncpvkdapaa6az4yy7kyjwgau,2500,1626866349,0
cosmos1jmmzf3xp2mxw3f4dm46zcumluadjdae2s7uk5d,2500,1635303804,0
cosmos194yny8pvr6n3dfgyd9uerpvqsxfnpdq6fggmm5,2500,1576022400,0
cosmos1qv37f4h290nf0earj90ptlt4jj7wmjf496nvhu,2500,1642742451,0
cosmos1stqkafudwykj2vvy6nx7vnev27pd0a83a5mafs,2498.500078,1635713037,0
cosmos167twacmq4t2q0qmp42sx4uhgv9f0kemcjvfuyr,2390,1634478098,0
cosmos1zyvqkxylqlmntjqpnajzrfjupf4tk4lryawjad,2278,1635484948,0
cosmos10z8zy09m2t8sl7pwp2l9c3n5y5pqd2l7kqkzpg,2257.71501,1636917835,0
cosmos1rpdgg23glfuf5h973ycrsk3g7kv80njv5c97xf,2148,1642160286,0
cosmos1kue627fwv3y5p3336sthe86qd6q7pvxmccq8gc,2086.692423,1593149311,0
cosmos1eu8m89vadg9w56gwswxtweumhnca6es93tfyuk,2078,1618783370,0
cosmos1auugl9psvd8wgnumw2z90ytfqxyr9u7aj9r600,2005.3,1640743944,0
cosmos1j4m07xvvyegsv66flum2mp9mfe7zd4ug685x2n,2003.4,1643378220,0
cosmos10dk32g4kr2zctjw0ed8pgnjhk74ndzh0wpcwl0,2001.78125,1641231555,0
cosmos1d33jv7jqwkl9x3caa00w8e6htgc8tz53fql87w,2000,1641356850,0
cosmos185d6u2qly7slfgdnxdr9dlaerjrrpra7jzwk47,2000,1644050789,0
cosmos1up8ea3x8n7sywfht8x773je02gemdhyqjxh5ep,2000,1635303005,0
cosmos1mll5f8e97mml7wdchvmudgd906rtfc9n85hn7x,2000,1645340479,0
cosmos18tqmn879leps8qrgds930c9nltp47wy0lum9g4,2000,1640526374,0
cosmos1572yq52pk7lqne7lq4sxp857ms5vvfaaj9n3u7,1970,1643700439,0
cosmos1llgu4yg0jfn8hqxt8l2q5zdqtahcdfnqaf6mm9,1963.499999,1642711020,0
cosmos1j8nsxvwd266hx8ny25j8a98yq6uzn77ftf0ams,1881.712079,1640482950,0
cosmos10a98ngl0c4kpr8nwjyed23krvx2cep72lz5qwt,1877.689515,1613045867,0
cosmos1ade3necd49x4q8j562jh30t5k5agvrl3wnknp9,1819.336184,1600793388,0
cosmos10gyxytvvul3w4ppuczlqvawm0e4rrnxdppccdp,1805,1641062402,0
cosmos1x64nysjvvy7kktxghkyx5wvenensgq8y22z6e8,1758,1631814028,0
cosmos1j5xr0pu09z747dt507hvuc9qzhqjp286q0uxqq,1730.34,1643038700,0
cosmos1mttyet8rkkxkzdzyud9ker2z9pcag9f3ljxkhf,1623,1634072267,0
cosmos1j3r03dpsv7v0hrgtnxxmnvnf94h2zwu6tswg2n,1587.453466,1635928805,0
cosmos199gxe69xgw8qxpnld7ya8eh92ajdaqzwm48dqu,1561.067154,1636197306,0
cosmos1wnux8vzutrq9hgfh50gpdync33tw00p7s3c8yn,1551.561475,1634558808,0
cosmos128p3wadsu9c999626seenk275zgq54d592w5xe,1550,1638665449,0
cosmos1u6405r67pu2uvdr0xsnasva9skjsqvw4ew8xvf,1500,1635993565,0
cosmos1gqrfyglayajq0kgju48a05wl3s2fsc68v7sd0c,1450,1635331796,0
cosmos1cpuae23pr36qxfpqqmv7nvc7ehr6rl49pkundt,1443.027511,1620639395,0
cosmos1vnl3kuc05jwalsapz22mm3flfa3u35t8hnls22,1430,1643130350,0
cosmos1tz8hh2ru2v2lpnhnhy0d68x5ndz5etd5kmdpam,1426,1614191237,0
cosmos1spfu8cfyahktfcqmg76j8ge5qznstaptrs2zrr,1405,1635792392,0
cosmos158gffeys5xh8ytf3f7x57yuaajzhm6faweyjvj,1391.73,1627078420,0
cosmos1wlycvce47qsnu6d8pp2stz6332u7292xcqe09v,1369,1613213456,0
cosmos10vxufrnag7ex7euzjrr4c82qf7pjg8mcz0a9n0,1327.45675,1617509944,0
cosmos1wycg2gahzmw9suq30wln7lyqwqkv24mrk6k2cm,1317.5,1642710930,0
cosmos1za9tc0zmjc9vlrg80ccw08jnpasw37m46gn2k2,1300,1642662367,0
cosmos1svgrg5gztq5a5643vr4wuy0q22gugeqntz22sd,1275.95,1593375171,0
cosmos10r0l2my5rcgguese0ey3ttyd623nnjrlmt82hj,1274,1636398472,0
cosmos15phqduryfkmuqfcmlnwac92j3qu3qly7fdcpqn,1260.88428,1609145537,0
cosmos1weqtquht7xlejm3vrtglx8fhmke5flfzhe3cle,1226.33,1643374684,0
cosmos1enheqj0lq2j4ykhv0lx8w666djqukmarrfptp0,1225.93,1643374514,0
cosmos16aq0m6n40gu2sr98mj2fdpy0ahzfctuwwfnw5f,1225.93,1643374360,0
cosmos18lnxwzu4dtxlam4sxm44jmhpyalleeys9zqqnt,1222,1641243392,0
cosmos1sqq2mgngezvryrpzurhghz0kqvvf8vp8azyrzv,1210,1639858283,0
cosmos1txqn8qm8cj3964j28guffxlcpcrydcpce5v80e,1185.950437,1576797393,0
cosmos1plmu2s7ecqv7pdfmcwlcdwmnwgpwgwje9nyvu7,1100,1637349680,0
cosmos194kla5xkrf6e6pqf64urt4dmjc957z594dplcj,1083.867824,1643068998,0
cosmos1nrz93vygd50hnr826rxe3xnjekn00g05mq9tfy,1070,1645143503,0
cosmos1as4y4v5ftahtk6xf8z4exc00h4vsn3hp5jt2lx,1056.562642,1640485841,0
