delegator,amount,since,delta
cosmos1zhwyfs8f8hjd50y28fcn05ew5d6mtz0v9tx5xg,2827589.53064,1615583713,0
cosmos1ymppl25sfgj3hc7w2az0h2mr737phcvfkr2gt4,1909639,1615583700,0
cosmos192rx0r7994fgh8wkqpt8j2wfg6nge7w8463f6f,1158177.346,1615583707,0
cosmos19dkpl43l668hjrrqjuxw4wwypnzgwaz0v8e8h8,571494.043,1615583700,0
cosmos15vd2gwjcnx7tuzl5ldxj2fshcgnr0h5k7uwesm,520,1635481580,0
cosmos10u4twvfv67lvlahjfc0hskhda5xsyrqf82rh42,367,1641574250,0
cosmos167qe5lr608du48lhrdc4ytyynv64aq6jcukxet,365.222661,1646190684,365.222661
cosmos192qk725vc5zc5n37xru5wrgpmyzs7luqcvkh7h,332,1624215939,0
cosmos12f46hg7847jemauvy33wlw5tstngm97veqjzvz,286.99375,1645180303,0
cosmos1z2wv4uvnq874ccm96psvdszmwphz2r8rm3ftan,250,1636730882,0
cosmos1qlkj7gnc54stpeu7y5hxxfmxnuyy8xamcetgze,230,1632321719,0
cosmos184d479nrj95rscydysgezslhegt0jgskyd6rgu,212.144766,1645906870,0
cosmos1592wlakssegnnthznupcp29n9gd3hjsfynhy00,200,1621880330,0
cosmos15kw6and2nxpg88cuc844vcla24suetpjctctcm,199,1630402402,0
cosmos1gqr7hwyl7lpmewk6mcg7uquldmt4qnnq4mnucr,180.19146,1640529941,0
cosmos1jxpztalf3skjftyrlf3tpd3c94g2nqkamcdg80,177,1635007900,0
cosmos1k70t33ja47jdakf3wqhcw6n60yq9lu60ex6se8,161.609912,1645789134,0
cosmos1xaq2l50mpjcg7a5cahzttef4pecjjx30adzulj,151.8,1616949341,0
cosmos104mlhyu7gm4mtp5qchvgjc4s9af0d4hkw37ytc,147.88521,1643059622,0
cosmos1n5jj9qz056jl2mvdddyk0z7kf00av8al0fzddm,109,1636383924,0
cosmos1n80vemgmex43j9ct2efhjngfe8cvdxkaqv3h49,104,1637476947,0
cosmos1s94dk7kt0ln63cfaec4hyxxrpkku2g4w2yrrfh,100.3025,1638518807,0
cosmos1mxn357menu366n3elhuqdde6ksgtd54tv2pm02,100.1,1631197599,0
cosmos1kyp42k6572e8wgv3nqjyyktj3v7ysvy5v94knz,100.044925,1642102314,0
cosmos1s3mg6q992442ljk64glyanllap0qqudl2ky3p2,100,1645869306,0
cosmos1024mx306xhy6q0s7f2gdqq097mecguwsfqrnkw,100,1646231369,100
cosmos1p73f7uuugneep55ecdunlfz2gzmk5ttc9hj0zs,100,1631632182,0
cosmos1ugjxe60xekqfmqk78mq4xuy5aajvay3gjt9a6p,99.99,1645103315,0
cosmos1qrqcyweaq02twse03k8acumcas8lr2wxen3hyq,99.86,1644243820,0
cosmos1pkapfgzpk93ydwd2kvy98urlr0xaaa6lc3mlyc,90.24854,1633336899,0
cosmos1m6dymuyc3p8pd9x25trpme5a084dk6v26l5mw5,87.324631,1641683186,0
cosmos1x4cx5r2kmu3ytl4drh50h7tns8zvctr5ajulxm,81.5,1643080275,0
cosmos1gn0jtr9a99cwnjkmh5amxwfp52jt72wj9lwyye,75,1631173469,0
cosmos12n9d9tnqxfyw4s6z6k2h8fa72qxszknv5y4t9c,73.215,1640688394,0
cosmos1yzd3nhz25qsl7xk5ku9u795mxe783e8p6yxrrj,69.9905,1644284903,0
cosmos1mkmje7x5azu5adw2veygkl2uux0lksqgzfr2pv,63,1620585018,0
cosmos1awejldvwxl00f6l8zg26308j6j8hhg4zd9vrf5,63,1620584939,0
cosmos1vp3w28eqv3xhsmnkksnwxx86x98prsp3msp592,60,1635194615,0
cosmos1c79vtjw88pwrp9gzlthd35rgxfmlz0urgvdn4d,59.524238,1643366193,0
cosmos1tszkr23jvu7grukfaf3ssu5tjy8y7mzxhugc27,55,1637202498,0
cosmos1z85c79qchfen0m88j293nv3wtll4rumqvpu6gt,52.48375,1640679565,0
cosmos16955nf6gxapv3t9sm47kleg5c3kdh4w2n47h6z,52.076193,1640468242,0
cosmos1jn3jjday2sskp22zclu0rl0gz8acjn2x3pfj2r,50.5,1641381271,0
cosmos1te058u2x3cyqlmfh4earnhjz5v0ttdrh8zru7h,50,1645899045,0
cosmos15aycanmnjx29pyh8y6sldn2j79vlt7lts3sky3,50,1645215264,0
cosmos1hgfumdhn3rfg6u0cytaadnmus0sxs57j9vvnyc,50,1643857902,0
cosmos1rtj0rxtsz5248sm8y6afslsxnawj9dupvv4ulz,50,1637361331,0
cosmos13rdeuu2e592mjs7exe39murfgzj4tes6vrxxa9,50,1638852229,0
cosmos1p7lqcd7s7qz6d0sp7jc42xx8nl2edr945e67dw,49.89375,1641817398,0
cosmos1slejnp5skjh6w8vuazqkp05m0vszdvs3yfxzwh,49.883799,1632286272,0
cosmos1x550nqtktlyyevfv94nw85r57mf2l925jzsw7a,46.438188,1645120124,0
cosmos1pnds25qpj5p235lhekq3cttgkzdsasalc9xk5m,41.8,1636835788,0
cosmos1n60vf6k5hf298phulxmaa072skssgy2axt42p9,40.492924,1627715715,0
cosmos1h9xlhsfyau9x266qgmmzm8rnapp49mg9yvlyu7,39.912091,1643922357,0
cosmos185w83gfcka5qn544altc6qgj8m9nd3g9yxjgks,39.884073,1620909593,0
cosmos1ygc3llm9emmlldtuk4jr09qjpuyg73ck7dxptw,38.662456,1643743332,0
cosmos1c0gd89kgyrcaf3lrc9ck44yk48mwy6arvt4379,38.245377,1616270346,0
cosmos1r480mkkqugedqe0u8daknxews37e8uc975hxyx,38,1633482413,0
cosmos1rgqcl54ww2auas8ca8hermpwvyd9ztr2aezy2v,34,1646065461,0
cosmos1chu3nneh4fsya6et893mm8nxv2psy5x6uf3hc8,33,1642238799,0
cosmos1665clynlseyqr6htrqac5hfw9evj4ta50y7wh2,31.60774,1625353403,0
cosmos1l443rdpt7arjp50vvfyte3rct4t2xq6he56q9y,31,1632652084,-70
cosmos1jkyn66hyg2wpqz7m89jdgp7gl34quzfla8xc47,30.717936,1627100902,0
cosmos1n2093lz7fmhd3e9n27thk0fs7zydr8tw5f6xrs,30,1646234837,30
cosmos15lrefpmjgmean7u7xn9wzvszalfxcmzxddhasa,30,1645933047,0
cosmos1ssu65vdunum4q7stec34ff3ftkwg34zt07e0gz,30,1632752341,0
cosmos17mxl6m99ndj5j9ks657n3guwegt8la3tuaqpn5,29.9,1632818170,0
cosmos180kez6hla0jvr8sd86f5z5u588yxje3kjjsf5a,25,1644097124,0
cosmos1d79gcwc6k8ned68wmfv4npxvlgtf9yuwez7kw9,25,1645302489,0
cosmos1exlhpu6u4l4se0s8j908czuc56zgksgmt585h5,25,1642171923,0
cosmos1n2ql4q87v3l9dawa7xsxzca2gwu5rq3zrpkjqh,23.5,1622603508,0
cosmos1wvnuu9tc2lazhjc99gm6re00d53vz25a3k2z00,22,1629989905,0
cosmos1gm9ku9v0zkm5gnldu4g3ne7ceugza7kwden0al,21,1636781821,0
cosmos12ac7z8rdn9ghlsaq8sj9canvcdv498gscufg0l,20.293856,1642999836,0
cosmos1m7ktpvldzn6wne7s6pueu7600d3qjnj2m8flql,20,1633456169,0
cosmos1x0hjtpeadkzpyekj8pgeflfh4f696t7nas74dr,20,1633327984,0
cosmos1dv8w6zl9jkw97jpfk32sk6eaq4ktn9kyagnl8a,20,1631492609,0
