delegator,amount,since,delta
cosmos16m93gjfqvnjajzrfyszml8qm92a0w67ntjhd3d,6151549.301917,1576022400,0
cosmos12tkfdn5tx6m27843q6k6t5kjqgqy68527hutpz,270989.806934,1576022400,0
cosmos10rg9pqnnq98w2xm7tkkhajecgtcs0v3dgau4g3,82509.010634,1607844451,0
cosmos100hfctvhmreclqxa4ake8r85r2q7qt62qmuf88,15184.070585,1615759126,0
cosmos1ju3z4nef3ppxz8qed0cqcyytw0s6js5za82d0u,9018.493403,1599769685,0
cosmos1m7m8fde5jc6khl3fu33dmzddm0eekesghr2cw2,4400,1645270380,0
cosmos16facdx50eramsgdkd2h8eywjqyllmp6qs77z30,2820.589768,1576022400,0
cosmos1wz9vuxdz5vgp7yu8e7r880g6ywung4yh670n6r,2498,1636380069,0
cosmos1yywslqens9gejz4lsypmcqsn7jpmtk8y5mpjrc,2032.287756,1576022400,0
cosmos12v7ttt8wyhzh4wxjvavhn76mjm9ymcrqaw42q0,2000,1635303176,0
cosmos16ujj75qfs4kg7055nztenwknfez4xjskq2atew,2000,1576022400,0
cosmos15sxd33p67wyn37zz5yn0jpheeq8kkdnv6w02sk,1547,1576022400,0
cosmos1yuetds5gnaryfgg5ldj9pvtttwwynshq72rmfc,1178.625491,1576022400,0
cosmos1vg5x55g9s0d3lhz2dspuup8d5xwftmyys7gswv,1000,1641459505,0
cosmos1lkuqhkmpxa7fj4glv238g7ywmlshrdlykurftw,1000,1628051085,0
cosmos1qz9k9tyz5yar7lpwmwashscs9ug3muwpgrlrj0,1000,1594774973,0
cosmos1akhecyaeawjpyp0k420y64m2m0q87sv06arxvy,618.892338,1583094697,0
cosmos1kwta52af24w4yu8v6pzq6dpjgtxd3ck4snhl36,529,1576022400,0
cosmos12kulln9f2vjc8vzzwg0uxnf3k4w2x30h7ts3gs,500.760988,1576022400,0
cosmos1x6n4vvga00gvcqu3s8hluu9h5tjzu8akqpswrp,500.00822,1576022400,0
cosmos177jlqtaxskrduh9drfhzr2ygmz3acdhmvh2a6z,500,1576022400,0
cosmos1xppn98w0gg6wl0q2g2nasmkqlf2elwpkl7fc5y,500,1576022400,0
cosmos1qwrahq7zgv8xcfrxucz5w3jreljeph7hkfs8qv,498,1644387491,0
cosmos1s3mg6q992442ljk64glyanllap0qqudl2ky3p2,450,1645869335,0
cosmos1hkaahxynxfa4lch8ptumadrwyfgw0dzhs4xc24,403.672523,1636548932,0
cosmos1zp6227ty4dr3cfxjdt7gaahzar6vq5ejqv9mth,400,1646016202,0
cosmos1gnsqlc9kw08ykrjjelg9g9z46v4autx0kyp6m2,376.866663,1576022400,0
cosmos1sc0ezp9e5nu3f99ckk2pz378jk4tl8c8wl8xse,339.47625,1638743904,0
cosmos1q65v58svd8al8w5m76mry08kuphrqe0pa53jpn,329,1644489615,0
cosmos1ysdtye0z982ggggwwmprg9u8evaa389h9p0dmh,276.345844,1641367481,0
cosmos15t357uww27mnwrj7g4gkq6d3lh8qtnvm7gkfmc,268.558564,1580287650,0
cosmos1l0pmlu40k5yr45cu2g2y5mc4wkqatmal8hlrmk,259.495885,1611449655,0
cosmos1ntqup6tuedrx7y0p0t6zucf8gzne47ur7pk8tp,250,1596658439,0
cosmos1565padgvxz3asr3thme9hjn036jfv0pz5ym65n,245.085166,1576022400,0
cosmos1eh99as0wn33a7sux7syywy4pf7m3cjf2748cxw,236.401354,1586887005,0
cosmos1yqrx80v5f4cjdk9a639t9rgas47c43h0jcpwwn,229.898,1576022400,0
cosmos1yufqmgx02phlwnwuqzh2ealajqynvaa8asq9ef,203.5,1637179992,0
cosmos1q5uruttqhxavz452j5u60737daevkw64ttsjwt,200,1576022400,0
cosmos1mx3qktw084vy9ggfjvmggv4naqypjz3wdafuce,200,1614307922,0
cosmos1q7ga60mscmfp7qltmahxmfwzd8gllp27s9e5jz,195.827918,1593116662,0
cosmos148045k6x9f4wmmg84zqumckk5rs34rqalfe387,171,1576022400,0
cosmos1jtq6jvwp3rk6a8n4jyzs332jk44jw6sr9w484a,166.063,1582910421,0
cosmos1trsxmtagmksylsfgq0jd7kkulvquhpasr5lwx6,154.253357,1576022400,0
cosmos1yedpj6dsuttzunfk9ft7uysjwzkxd7hjw5zq6e,150,1638111343,0
cosmos18tf7qup0rzh8pkh26haff9tcctdz8w5tlkgg5z,145.370629,1613094600,0
cosmos1ucze7hruterw7zt22hy2fje5xf7wq0zdh3dfnd,143.241273,1646147025,143.241273
cosmos1q6lhfy60qqdsrwxt9zdpga3zd6tadz88nx9kgy,133.5,1640728493,0
