delegator,amount,since,delta
cosmos1cj7u0wpe45j0udnsy306sna7peah054upxtkzk,999999.9995081463502778,1576022400,0
cosmos1ulwgf9ly9kq2le5fgupvyd00wqym88xtju6g47,403560.9640341561860711,1576022400,0
cosmos1lt83tymrlkcg7jtfrzv5370z9uthttpvhf4jd7,349999.999998381971323,1576022400,0
cosmos1fu20t5zxc64z2vux4nqmf6csnapzlrmj4mjgvv,273444.241279,1581016325,0
cosmos1c0829zzzlm7lujdf8nn3mrhmg9zjugqnrrtzdg,249999.9997885386399916,1576022400,0
cosmos15nz5gqx6f9nu3tf3dc8hyzwrrqkyxkznlfwdc7,240185.715504,1593993486,224.808702
cosmos1y4jjwr9d4w0dg8wve6fn9wfgrgr3armjv2d3p2,176681.2188464950560408,1576022400,0
cosmos1cql9ska0xl2rkg6gcv0np4333gn6fygs3qf90r,172559.9999828151312704,1576022400,0
cosmos1vrlt99wgwwdpukhu9nf5yaps0yc4khqn33uktr,134899.9999986962754173,1576022400,0
cosmos1k447djp2qrfk8pl44vd02qdlld2asjeeyxj94j,128298.117994757656717,1576022400,0
cosmos15hmqrc245kryaehxlch7scl9d9znxa58qkpjet,126091.644204,1619738458,0
cosmos1kquk63vg0c7ugpd4n9l2hfemys9kgywwl67vpf,99595.1210209330484362,1576022400,0
cosmos1u7lcludq9slq5vc5hxflpcag72ly5x7pxz7vgu,91708.594262,1619517026,0
cosmos1z4zpf9l6sajhy6wmxhrhk9w6n2eshjsller7tq,80274,1584523315,0
cosmos1dwzxaessw2fpvfzyh4wp7kgmgcfgeqthjapms9,75000,1612963902,0
cosmos17eafvjxuv5tz387q6mchwtc3d2cu8zgu39fmm3,62028.94153158012363,1576022400,49.700677
cosmos1xz39xst9hyaeu9lyn2kqp2yr7pv06e3cf94knc,53205.200812,1625099091,0
cosmos10a7evyydck42nhta93tnmv7yu4haqzt94xyu54,49999.9999606559336708,1576022400,0
cosmos1zaze2d9sr326cwfmm794nceg728sg5kqtv68na,45083,1641964208,0
cosmos13k2fr35qrksyehm4trsekq6329rpheuslxhefe,42143.067671,1637330251,0
cosmos1xzzqvxuyyf0c76kfute9s7p6w9mh6ucsc75st4,40496.099995,1632798003,0
cosmos1jvykup7tdqs73qpt68xwylunst873nuxkkfpjq,39196.382674,1594491418,0
cosmos17pz7rlzlgsne9luslvxpchn5m3p5fgrqefg08x,38812.3942236753860025,1576022400,0
cosmos1vwtv6ryr49usqxckhd8awk4yl6ghhfkcjzag4r,35324.8815677916108358,1576022400,0
cosmos1uxxaz5z8aty94vu6w7dpm38qxmzssktsz6ef3f,35000,1644422911,0
cosmos19wnt5h3ae6953k2xlayxdwytaddt0fss99vshs,34874.7752876845911909,1576022400,0
cosmos1y32l54dp5huuv7mx8t7xefpe4vy3gqa77uj4yh,30000,1639463861,0
cosmos1awpflkaj937pkn6ws5f048hhf7jwjg8fvz89zx,29999.9999968487608022,1576022400,0
cosmos1gtdxj6hay8xdjvvyh8cpk2jaw2eazpz3fqrvq7,28779.999972,1588697265,0
cosmos1w2q5xd8nhylu4vj28vpzfgag7msfxf0vx88wfq,28018.9164968955796341,1576022400,0
cosmos1twy4k97hjlcqxr6s9srzyel2snuvnm50q7am9j,26474.3867989971311092,1576022400,0
cosmos13jwgjxl9nfvpcy5gv6nec9z9w6mwv6l0s4u8xy,25475,1579823139,0
cosmos1vdv8v0ztfxwcu2zuh8tdfgchhq4f26pv2t8lvw,25394.9999979716158984,1576022400,0
cosmos12hyv6qsvd5ts3pe08l8euccrunmp5ry2jd5w5j,24000.0004839481350151,1576022400,0
cosmos15sxd33p67wyn37zz5yn0jpheeq8kkdnv6w02sk,23999.999999591733,1576022400,0
cosmos16phjecw25muxjyxgft4jxmwntvx24xhcnvz0p2,23254.98,1644613413,0
cosmos1yey67pxdyzue45pc77nhv38ewne2ykjswvyym9,23180.4771303022131923,1576022400,0
cosmos1yl6l479x8sxg4naf0uxlta6tutk3qt7glarpmk,22431.4999987038022351,1576022400,0
cosmos1v4m3ahue5pdn5smjh2flz9at2u9926h3jyfl48,22165.8169102549694278,1576022400,0
cosmos1vtj4kl2s8xsnu3gx0w8mv6fpzgjjzpjjg24dsh,22009.932749,1608752221,0
cosmos1ap5m3nw7rd3f5pfc38cg3vwau5wz98adqvr956,21451.9999923575658867,1576022400,0
cosmos1f8ytcsuuux0uus0dlklgea7w6mnpf24pz4jplv,21346.1999999490464079,1576022400,0
cosmos1zyqm8gmermk5mfncpvkdapaa6az4yy7kyjwgau,20529.9999996668110765,1576022400,0
cosmos1n5tpw57jpl7tpfwdzu6v23ve2a9gf3mct3c8rg,20000,1644836979,0
cosmos1ajhkz8038d0z3hspgmxad2tsezkchmztje0dr6,19975.946195,1600951716,0
cosmos1ey69r37gfxvxg62sh4r0ktpuc46pzjrmz29g45,19900.1903129862995942,1576022400,0
cosmos13njcc8ah92x9wmfz0mvufz9qxz09sqpg2l5m8c,19250,1609908982,0
cosmos1akgcf4fe00j809w9t7cnnet0elsjjq463e42d0,18669.9999913409784616,1576022400,0
cosmos1yjp9yeqkcjzhucc2vwghq3nzwtv56f5y05xg2d,18600,1576022400,0
cosmos10l3rfs5eya90utgm6g3lrtf6pzff3muc7l8y3n,18441.4353249130569446,1576022400,0
cosmos1xt2w2gxx9fw0szzt2432vzga9q8n35a88w90sz,18441.253235,1604538390,0
cosmos1cy7jye9jkg6k4h9wcurdcx7q4ld03m4853my3u,17506.8332966403498455,1576022400,0
cosmos18npp0s2tffdx29qc0wrw8d48xrgcx2apw6dmv4,17003.4,1603373339,0
cosmos145h26eqweh6cuczptqgrfaj2rs4g9m7vay9ncq,16117.7004264592754536,1576022400,0
cosmos1sjvnwmvqccvl7cex837t3ayscpj6zqycr29xt5,15878.0559749173506128,1576022400,0
cosmos15a84pmu5qa9pps40g7vyzqar0p77mg0e7k05t4,15444.4037519525677367,1576022400,0
cosmos1rpty4zqcd8a03exqmcptgmwfk7dfukj4py2mz6,15001.75,1594400727,0
cosmos14g346rvtyw7aac8qq5p9488ls8pqdk5u6tufya,15000,1623135002,0
cosmos1qhl9pyleczecz43fvv3klmg8vr3kppe7xw2yjc,15000,1641041051,0
cosmos1qnz8rrgad9ezxnel94xqs7nukkxl3h3c4y4ala,14999.9999973045641758,1576022400,0
cosmos1mekg43qn7wfauc29es0jj5halyfvynkf5upgp2,14999.9999972090171574,1576022400,0
