Validator,ATOM Range,Cumulative Total,Cumulative Addresses,# Addresses,Total ATOM,Stake share (%),Address share (%)
Chorus One,0.01 to 0.1,0.81,151.0,151.0,0.81,0.0,6.71
Chorus One,0.1 to 1.0,9.17,298.0,147.0,8.36,0.0,6.53
Chorus One,1.0 to 10.0,157.76,527.0,229.0,148.59,0.0,10.17
Chorus One,10.0 to 100.0,4297.14,1312.0,785.0,4139.38,0.1,34.86
Chorus One,100.0 to 1000.0,24526.69,1936.0,624.0,20229.55,0.49,27.71
Chorus One,1000.0 to 10000.0,94367.0,2130.0,194.0,69840.31,1.69,8.61
Chorus One,10000.0 to 100000.0,385195.69,2212.0,82.0,290828.69,7.02,3.64
Chorus One,100000.0 to 1000000.0,1241439.02,2243.0,31.0,856243.33,20.67,1.38
Chorus One,1000000.0 to 10000000.0,4143016.83,2252.0,9.0,2901577.81,70.04,0.4
Chorus One,10000000.0 to 100000000.0,4143016.83,2252.0,0.0,0.0,0.0,0.0
Chorus One,TOTAL,,,2252.0,4143016.83,100.0,100.0
Everstake,0.01 to 0.1,2.18,740.0,740.0,2.18,0.0,1.18
Everstake,0.1 to 1.0,69.79,1913.0,1173.0,67.61,0.0,1.87
Everstake,1.0 to 10.0,2945.47,6613.0,4700.0,2875.68,0.06,7.48
Everstake,10.0 to 100.0,118388.4,30961.0,24348.0,115442.93,2.42,38.75
Everstake,100.0 to 1000.0,937078.67,55706.0,24745.0,818690.27,17.15,39.38
Everstake,1000.0 to 10000.0,2611335.23,62310.0,6604.0,1674256.56,35.07,10.51
Everstake,10000.0 to 100000.0,3663034.73,62803.0,493.0,1051699.5,22.03,0.78
Everstake,100000.0 to 1000000.0,4156358.96,62827.0,24.0,493324.23,10.33,0.04
Everstake,1000000.0 to 10000000.0,4774468.21,62830.0,3.0,618109.25,12.95,0.0
Everstake,10000000.0 to 100000000.0,4774468.21,62830.0,0.0,0.0,0.0,0.0
Everstake,TOTAL,,,62830.0,4774468.21,100.0,100.0
MultiChain Ventures,0.01 to 0.1,1.84,590.0,590.0,1.84,0.0,9.23
MultiChain Ventures,0.1 to 1.0,27.74,937.0,347.0,25.9,0.0,5.43
MultiChain Ventures,1.0 to 10.0,417.81,1518.0,581.0,390.07,0.01,9.09
MultiChain Ventures,10.0 to 100.0,12118.439999999999,3713.0,2195.0,11700.63,0.28,34.32
MultiChain Ventures,100.0 to 1000.0,76398.85,5779.0,2066.0,64280.41,1.55,32.31
