delegator,amount,since,delta
cosmos1f70nsqtq0wcd0kymq79ca2p0k5napnm6yqc94x,961103.44,1576022400,0
cosmos1ga6hy630ejh2s8p2kvql4jxjt6fcnj0nl5vjqu,656579.282882,1576022400,0
cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,300000,1576022400,0
cosmos14lultfckehtszvzw4ehu0apvsr77afvyhgqhwh,250000,1576022400,0
cosmos15hmqrc245kryaehxlch7scl9d9znxa58qkpjet,220660.377357,1619738632,0
cosmos1q4xrgp7uluenws5dflmy7y7wlwcnerwzx4numj,172601.639813,1631894626,-277.092429
cosmos1qy54a0n0qca3mc20ahcazg0fvq7td9sz2nzrx4,130000,1576022400,0
cosmos1la4t7jee73a4zqg9ccs2acjt462qjs5xkls4n7,106815.06716,1576022400,0
cosmos13fxkvaqmgatzmmxne5czk6y8tws3dxgcuvjpeq,103800,1576022400,0
cosmos1nxw02t4dtlpwhmh7c500fgj0e05w30dmfcf8hk,61831.341007,1636559553,0
cosmos1d3ttu3zxxzqs406qwtadcmdye35gwkrxusvhcp,60000,1638553007,0
cosmos1fujmd6kpgy4az4y6rsduwap0s6sazgd0sndu2e,57496.351468,1576022400,0
cosmos1c8m8ajhaa6ukj8f54787wnewltgjagf0u45vgg,55573,1625214750,0
cosmos1gg5tynt57lf9d69crj0vzf3m6rsqelz46xntp8,50000,1576022400,0
cosmos1y32l54dp5huuv7mx8t7xefpe4vy3gqa77uj4yh,50000,1639464596,0
cosmos1g6tg4e4jpjvunxm9phj75x09lyxls667e7n0v8,50000,1582447514,0
cosmos1krfmhqvfzmxex5uw5atjwfs9xpqel6hvqajkyt,45145.000001,1576022400,0
cosmos15498qsjzr8qnn7fdcnp3l2el96awtteh5d09xf,40000,1576022400,0
cosmos16na5gpcj80tafv5gycm4gk7garj8jjsgydtkmj,36000.47,1576022400,0
cosmos1uxxaz5z8aty94vu6w7dpm38qxmzssktsz6ef3f,35000,1644423024,0
cosmos1zfkep87pvq8grgkf7dslu4j3adpk5s4czj4gt5,29035.325389,1576022400,0
cosmos13xvmkjdq3vd2zfk78ft607tjex8qjxhcjlyrz3,28511.757952,1576022400,0
cosmos17pz7rlzlgsne9luslvxpchn5m3p5fgrqefg08x,24961.415,1576022400,0
cosmos1s8n824e5p5chavmq6j2se3npxyquvxttxy6ass,21900,1576022400,0
cosmos15urq2dtp9qce4fyc85m6upwm9xul3049um7trd,20138.999999,1576022400,0
cosmos1fwdgkxxke3pktj0vghzn94uf4s56z0tajmys98,19508,1642773455,0
