time,value
1576080000,19.1
1576083600,1916.336696
1576087200,20.110025
1576090800,8594.474212
1576098000,9.48
1576101600,50.5
1576105200,0.9
1576108800,763.302442
1576112400,10000.46
1576116000,300.000001
1576119600,0.2
1576123200,3020.01
1576126800,2937.730404
1576130400,4000
1576134000,2962.71
1576137600,676.9925
1576141200,395.177349
1576144800,22.798999
1576148400,23.500001
1576152000,547.013769
1576155600,210116.778565
1576159200,0.01
1576162800,1.5
1576166400,1.000077
1576170000,8000
1576180800,107.23
1576184400,10000
1576188000,15050.217984
1576191600,25002
1576195200,95929.88
1576198800,18.112541
1576202400,6132.371611
1576206000,0.55
1576209600,9123.05467
1576213200,53206.570489
1576216800,120.347999
1576220400,0.2
1576224000,10
1576227600,1119.986609
1576231200,1297.042957
1576234800,397.03
1576238400,12010.747
1576242000,2958.7695
1576245600,1009.8
1576249200,112671.726
1576252800,89926.570001
1576256400,0.000002
1576260000,201043.386441
1576263600,25.405024
1576267200,1083.873168
1576270800,3.28
1576274400,2000
1576278000,12337.0662
1576281600,10146
1576285200,18475.080008
1576288800,26863.870379
1576292400,199.990342
1576296000,360.838641
1576299600,3038.741563
1576303200,387.053053
1576306800,2339.792225
1576310400,1000
1576314000,4100
1576317600,4100.299964
1576321200,3359.53
1576324800,1379.407164
1576328400,3816.241669
1576332000,1524.8475
1576335600,5806.257749
1576339200,6285.795483
1576342800,9055.738601
1576346400,3391.952996
1576350000,30805.499454
1576353600,118.549008
1576357200,1080.894223
1576364400,13092.530069
1576368000,394418.108667
1576371600,806.510462
1576375200,7200.102817
1576378800,5326.202
1576382400,32453.921
1576386000,1232.84902
1576389600,20000.000001
1576393200,213.0081
1576396800,4554.103013
1576400400,2016.173116
1576404000,5403.826995
1576407600,3465.820405
1576411200,27859.61802
1576414800,10051.86069
1576418400,7109.147747
1576422000,151252.82999
1576425600,66950.361459
1576429200,601.658035
1576432800,10837.672126
1576436400,139.955499
1576440000,312.177517
1576443600,1145.674
1576447200,114.581126
1576450800,51233.2
1576454400,2318.41
1576458000,1115.57025
1576461600,2232.51951
1576465200,212.827062
1576468800,494.896915
1576472400,3552.747248
1576476000,0.26
1576479600,108
1576483200,2324.227308
1576486800,0.900001
1576490400,30880.279411
1576494000,201169.435891
1576497600,216.436822
1576501200,457.4996
1576504800,58850.476042
1576508400,25000
1576512000,126.67
1576515600,30216.356465
1576519200,1014.897574
1576522800,53.734579
1576526400,4448.003656
1576530000,49.999
1576533600,200050.394929
1576537200,1400.234492
1576540800,463.938138
1576544400,10077.892331
1576551600,4191.257231
1576558800,70
1576562400,301.8895
1576566000,3720.483866
1576569600,9.54301
1576573200,2700.51
1576576800,641.381473
1576580400,50
1576584000,194.030008
1576587600,2367.780534
1576591200,7289.167199
1576594800,29.239843
1576598400,245
1576602000,4000.000002
1576605600,254739
1576609200,1394.968006
1576612800,2199.49539
1576616400,320.115222
1576620000,143.979286
1576623600,2008.014751
1576627200,1713.506977
1576630800,591.660822
1576634400,4784.483327
1576638000,2.000001
1576641600,60276
1576645200,8.02
1576648800,0.1
1576652400,4278.654732
1576663200,73.435659
1576670400,64257.386877
1576674000,219.455005
1576677600,145.184
1576681200,9850
1576684800,595.079648
1576688400,119.051495
1576692000,86.530988
1576695600,12.78
1576699200,5.256
1576702800,3652.016128
1576706400,2363.197992
1576710000,155.983917
1576713600,2728.777628
1576717200,710.822993
1576720800,228892.127117
1576724400,369.722921
1576728000,205.684321
1576731600,712.15
1576735200,19009
1576738800,41113.1607
1576742400,1001.07
1576746000,20026.52
