title,website,operator_address,acc_address,cons_address,percent_power,power,self_stake,fee,blocks_proposed,delegators,power_24_change,governance_votes
🐠stake.fish,stake.fish,cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0,cosmos1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u0tvx7u,AC2D56057CD84765E6FBE318979093E8E44AA18F,5.69,10483749.991885,115000,0.04,579020,26127,-210746.160611,27
Binance Staking,https://binance.com,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,cosmos156gqf9837u7d4c4678yt3rl4ls9c5vuuxyhkw6,83F47D7747B0F633A6BA0DF49B7DCF61F90AA1B0,5.53,10192249.069230938386433,1.899999,0.025,592164,24286,3874.19554,0
DokiaCapital,https://staking.dokia.cloud,cosmosvaloper14lultfckehtszvzw4ehu0apvsr77afvyju5zzy,cosmos14lultfckehtszvzw4ehu0apvsr77afvyhgqhwh,2199EAE894CA391FA82F01C2C614BFEB103D056C,5.13,9462395.05954,1256597.771429,0.15,434672,3211,690.159654,20
Coinbase Custody,https://custody.coinbase.com,cosmosvaloper1a3yjj7d3qnx4spgvjcwjq9cw9snrrrhu5h6jll,cosmos1a3yjj7d3qnx4spgvjcwjq9cw9snrrrhu3rw8nv,F8C01C0681578AA700D736D675C9992065F65E3E,4.74,8743564.162193,10950,0.2,279335,1996,292.46673,0
Kraken,kraken.com,cosmosvaloper1nm0rrq86ucezaf8uj35pq9fpwr5r82clzyvtd8,cosmos1nm0rrq86ucezaf8uj35pq9fpwr5r82cl8sc7p5,33C99B2E79B887ADA2228E53FB6EA000AB983337,4.34,8008118.572182,7983127.135423,1,229944,2249,16808.312389,0
SG-1,https://sg-1.online,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,cosmos196ax4vc0lwpxndu9dyhvca7jhxp70rmcfhxsrt,D2D458F9209ECB8CA2AAB1D99E06611B812A8797,4.2,7745663.27794,2642,0.01,112308,32196,16226.978268,23
Polychain,https://polychain.capital,cosmosvaloper14k4pzckkre6uxxyd2lnhnpp8sngys9m6hl6ml7,cosmos14k4pzckkre6uxxyd2lnhnpp8sngys9m6jtwwnd,B1167D0437DB9DF0D533EE2ACDE48107139BDD2E,3.56,6568009.648485,1,0.2,344770,1098,-203.929647,7
Zero Knowledge Validator (ZKV),https://zkvalidator.com/,cosmosvaloper1v5y0tg0jllvxf5c3afml8s3awue0ymju89frut,cosmos1v5y0tg0jllvxf5c3afml8s3awue0ymjuz3aksc,ED509E78097E1306A91FEDE8E85B75D06BDDF6E3,3.55,6540695.610805,9,0.1,321335,1259,2594.136975,13
Paradigm,www.paradigm.xyz,cosmosvaloper19lss6zgdh5vvcpjhfftdghrpsw7a4434elpwpu,cosmos19lss6zgdh5vvcpjhfftdghrpsw7a4434ut4md0,68F27079590DCACC3AC1C4892A1A008F348F596F,3.51,6476408.381638,2,1,243201,1320,461.670027,4
GAME,,cosmosvaloper1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqgfnp42,cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,F59734A896A7689436BC3422244FD862AE189C5C,3.39,6254391.255842,1,0.02,284829,17712,-93225.701357,28
