delegator,amount,since,delta
cosmos1ma02nlc7lchu7caufyrrqt4r6v2mpsj92s3mw7,1023508.987589,1576022400,0
cosmos1cj7u0wpe45j0udnsy306sna7peah054upxtkzk,1000150,1576022400,0
cosmos1428dpgezrcm40j72rljuvsqxth5j5p8n8lk4fj,200987.878549,1636202632,0
cosmos1artj04ggd38xftestmm48jg2ycyt9xut99aeyw,97598.989124,1636202735,0
cosmos1ce2gkxuug6g388qd535tk3p70ej2xkkvf5jm6r,55710.419448,1576022400,0
cosmos1uunpjasy0es2ywe987qwmyscajtnj77vcukatm,26297.370004,1643740825,0
cosmos1vwtv6ryr49usqxckhd8awk4yl6ghhfkcjzag4r,25687.4,1635698864,140
cosmos1mrdcn27u8hckp4vftx5kz9u6mvlcaren6zp0a5,16192.150665,1636201931,0
cosmos1xwg5h8pg4s2ekc6rtums6lwdsjfld83w723hr4,6463.030684,1642727564,0
cosmos14v5g0954l8q7kwtgt240rh229l3v6zuuvflx5q,3000,1639077307,0
cosmos1ku0vuh4crrzfu29g2dlchqmgusan5y9mh6vq30,2930.108517,1643116340,0
cosmos180temxfldsrfa66aljp083nsru48q8829f6j6y,2061.927811,1634582727,0
cosmos1mly5rzeh0sy7ed5vfa7mtq4a946hhydzscxcts,2000,1620970438,0
cosmos1rv6mwrrct5r0slr9tkr9k2y8um2r2hts40xemh,1584.9727,1643468786,0
cosmos1rv6wv6wwpr02hx8vchyhk93xt590t3tg566rtk,1582.777,1576022400,0
cosmos18y53njs6qp3ex0k724sd9mfsjftxet9r63gzac,1559.932195,1640804715,0
cosmos1jknsm207v02re9ta9tvmcdhss78j0qljtm0g3r,1505,1576022400,0
cosmos1gqrfyglayajq0kgju48a05wl3s2fsc68v7sd0c,1500,1641276861,0
cosmos1vnl3kuc05jwalsapz22mm3flfa3u35t8hnls22,1288,1643130488,0
cosmos1206mghh7a4ha8w2jputtj7xaflrplaagjqmj33,1273.345518,1576022400,0
cosmos1jnfnp0kt9pymsvp4vfr04f3f60e86u5llzyrtg,1091.205681,1619264114,0
cosmos1zmfqzle32743rhkq95waw82cufqks08qw4aaas,1024,1644307877,0
cosmos1hvrl2sxdy3nnswsk2wepq7chmx4484v2mj42pj,1009,1636905186,0
cosmos1vcqsmt0xacdld6pvk6alh8qtdkshy5vtmkfssw,1002.27,1644310958,0
cosmos1z4djdjg257nmzkgeftxafprlj70qx5r7glajep,1001,1614061822,0
cosmos19c0cvz323ny2ku869v06cldy9s80wsa9ryqjn7,1000.1,1644019237,0
cosmos12dnv539p9umh6ze2jpn8n57frlsads3d6yujz0,1000,1632568640,0
cosmos1vr294smddrvwntu2f65emyt7q08naaess9c8md,1000,1636191894,0
cosmos1jaq6rn09s4y8r4dmhwgtztecyd5w7tct02du28,1000,1645373553,0
cosmos1m0d02v2tx988re6hu66xy7m50evzrlu7mrjews,957.97925,1644965802,0
cosmos1rpzsesr5cjgwwyj2t3edez45e0x37qxcdnxehd,950,1644623847,0
cosmos17ht4kjeh8kmcg7ax5uu0u3hmmkm3c8vm59ft2n,865.693228,1637932276,2.25
cosmos1dfdgc3uzznuh7pyyxlnacwceds6z6dd04du0n0,861.4852,1635454973,0
cosmos1rn9czteg7n9htyzs4nee88p2gprnntucuptdu6,828,1645478329,0
cosmos19hn4zfmxd9uryr6n0ld308detj3tmh7zavqg2h,799,1643638505,0
cosmos168xk63hx4l5mv299u5y7dzzlez9v479xruzkqn,730,1643479444,0
cosmos1ls5w7wv4hgzvkdmqyd8md07mp6putkgqun6uye,705.58125,1642430613,0
cosmos1jhxh9y2352vxu39ssp0jeywp5wual4cncg4gss,705.5,1643380229,0
cosmos15s9gvvyz6nqjl6jem07yrj92vzsm4dr6p0rs4v,700,1643438971,0
cosmos1ldnelx4c6hev2jncrfqpp83x703ng7zz4wj8e2,634,1637968361,0
cosmos15phqduryfkmuqfcmlnwac92j3qu3qly7fdcpqn,624.043421,1609145537,0
cosmos1mmfl8uz5ff008rr7v76nts8wunsw0nu2np2c9z,607.78,1634952247,0
cosmos13dez3ulzr8uung8h7lagdrfpf8n5qcqz0qywnh,607.167861,1640843212,0
cosmos1j9atjme68df6d903ualp5a87tj46pthc64w9z6,600,1643385111,0
cosmos1gwa7535t5uezsj0xu438vu5n9kaa7l5qetmah4,578.5,1635730314,0
cosmos1qy0vur3fl2ucztpzcrfea7mc8jwz8xjmpmn847,541,1619313862,0
cosmos1ygsz0uwsg2zqkcsgejnxvqgzl8ztkjuqvxp9u4,534.9,1642686919,2
cosmos1xyy5r22zs5c3qt35puxqjw4p3xvrzendjj9w49,526,1595629956,0
cosmos1uy6hvfma9nrwshsz4llr3wa3d70ydqjg3mmv55,520.928575,1641936791,0
cosmos19pp9menw82eu2ugh0s6vy76rs6zdc6edm5ftvj,510.4,1644068640,0
cosmos1vws754k49ttd02ysunendvqkxeenv3s9xf5g4z,509.9,1644068607,0
cosmos1svgajsw2sedkp984mnfwpcq04pvs7dts0yglz4,500.25,1603918069,0
cosmos1h5xmjrhfr2znhr2l68tgtyxh74zhx85njuzg4h,500.05,1619698288,0
cosmos1pmaltcu0x97x8j5klc8xluaapkzcvztcsec99f,500,1636292410,0
cosmos1qvzr7w0hpnsq2sqt0zxesn76wqksc3yuj8plq8,500,1644552130,0
cosmos1r9f6tm9nupuvm6egnnxf78c07g4yk583lugyfd,500,1634396291,0
cosmos1lenvpq48ehp83x70nxuw797949twzhcycrucv4,500,1635702518,0
cosmos1nevrswxvenflzlqymn54n3nxvc4ug23qdydn8n,500,1612780823,0
cosmos16amn3uxakylhq5mu8tmanr3lmulwx7n66emyqk,500,1642126841,0
cosmos1d2agg8v8mqytjjhu5np4ezndassttgln8667um,489.9,1644068580,0
cosmos18sk2vp8sqjwgh7tzqxaqxm0t7hc4cnrpvwapan,488.6,1643045343,0
cosmos175vxk86x297nnvm5fmw5vtl69lv0n0a5tfuje6,481.5,1641930186,0
cosmos14fyzujs9ssu4ulj5cus2eh8js37qalwd2dgyek,473.912545,1645442627,0
cosmos1mvyse5pptue5p3g3l8tda7t0wc8hz6kn5479fu,470.765743,1644065785,0
cosmos1m0nrf6hwu2x6va7uvxa4897f2ugr0hlvu0w5yw,470.2,1636028266,0
cosmos10k9w6vffw47vq3zzze9gx3h4zkfle3dq7egee4,464,1636632370,0
cosmos1enz4x0szrqkxgygac948dyxdfvhwms24ltnch8,451.200004,1635182685,0
cosmos1w2thvet5hp3rssqts0kg4sjnk2kydrsrdxddy8,444,1644636926,0
cosmos167hsfdzpyrmw8jnef7dtdf6xug3gqs0t0nv5xw,443.352798,1621018801,0
cosmos1p0z9ckm8gp40ssckjjay7y9zmw4uvpz84v9g73,430.0405,1622908812,0
cosmos192ulc0t6er4rzcqesfeqw863ere82ewvrr83l2,409.98125,1644065735,0
cosmos18d3r9saljpfg5jjlagzccqxfperr448zszh9cj,405,1642253353,0
cosmos1jfy6yhmea7w73twdzn5epsvupvzzdw5pfywpaf,400,1641152997,0
cosmos1sdn7jv6d74g5vqqly6x8nkcxytfd69q4jdtlmv,400,1644321764,0
cosmos1r2y8g6yzt0d9f88ew9cqplh5y3wq867u6nvuc5,400,1640251390,0
cosmos1e0mhf4ghkwh0pjdwzz03jsszeavjtgtrtjnmf0,400,1641588496,0
cosmos12sn7zur0tj65zsph2vw0nwjxg6fjdwkc2xamrc,393.203342,1646033004,0
cosmos1x3uk5ggc3q6st67j94ed0s35c6grh9agz20lnp,385,1639353291,0
cosmos1qanzjwu7kd78z44qpdhynkxd7wxuw6ez5x6xfj,379.9,1644065699,0
cosmos1hn5lw538tvdvmn3afs3s2k4ws22jc0ftd3vc4j,378.5,1641768932,0
cosmos1wug5c7cgnc5m4u8uyfdnfml85day582qlvxdzh,360.2,1641686278,0
cosmos1a9a44rhv95fj6f4gmwj4vtxfqpanq2d5600wcj,350.1846,1641207749,0
cosmos13jdgclnxvewje3ypsh0nt6dm0mpvx05xvu9rry,349.9,1644068531,0
cosmos16es0x30h7hwm369adp5vy7prmzl75l6q9d67x2,340.905582,1644500890,0
cosmos1uxs476ndlkyly8wwfmc78flp8fyuwcshgkwthc,340,1600693039,0
cosmos1j8f8ksx88l9l59cplck9v3vwlwzg4pxp68y5t4,340,1639435255,0
cosmos14d8lj8pyd2sakxwu2wd3fezzksvt9ya70kaqfw,337.353705,1640234945,0
cosmos1w5z9vtqvy59znen8kzvgdt99v4d7k8vdqlqr8c,334.9,1644068580,0
cosmos15sedqvpp4kz7zeaevdwp6lrn2zcu923z4dctaz,329.872,1619967121,0
cosmos1qwjzpda94a5ewa5r5ky6p8reffzu5dmuexwemk,322.433116,1633909552,0
cosmos1ezmcalhk5krjpv7ewcqml5a9w56fnnjax9wam7,320,1644033524,0
cosmos1q4ysu4yl060g9pxp57nrv6q4t6vjzunlwnufjv,314,1640857359,0
cosmos10etxt8mux25pplaqtsj2y9z29v9km2damytrxq,306.4,1643901076,0
cosmos1jmnh7zffx2tulcx4ac40g8ghxtk0tqrzs049nm,306.06,1640916627,0
cosmos1pzunc9mys4lkr02nncdsg40we93qhj7nzahjmr,304,1639683346,0
cosmos1220tmgm667v9vjagwvs8mgjzq2x53q4yc36ug2,300,1643528390,0
cosmos1h9r03lu3jnqzrln9g5rgfkax5zhfyywc05etdr,299.992,1641084900,0
cosmos1nd3xeeswn3mvyzyq8lhw7zyejakp70l9g0e7e8,299,1645776855,0
cosmos1qzysq4qg7g5mhpkxlgmpfrp0a48e4vg8e4522h,299,1645776623,0
cosmos14tz7rvdglyetz00el0jzf2m3hkrnm8gts9e00y,295.137304,1641025283,0
cosmos1uw9y8lx0e9tlgcvweu9s68wfvveptwceepgx48,284,1641719318,0
cosmos1fywaj50zqarp5zsye6ex6rnjtgv9xrx5gse2n4,281.743514,1641646647,0
cosmos1rlzma7p5ed0a0hnn9fqndqvr8grwm6jhz5pc7v,279.00417,1640883101,0
cosmos1jpxsa3e3t57jhj0rmk9ezjaa597e264thglqsd,274,1644191450,0
cosmos1xm0ctawcvqu0av4clee4d7ghhmj92dszjz435v,270,1644033552,0
cosmos106vvy4g4efwntyykrz577g9nqxh8rlj75z4l3v,268.232019,1620363836,0
cosmos1xh5ssfc4kkez9zuj8mk9m2e45ptpp7sf8axumu,263.987475,1593474728,0
cosmos1h52jazlpme2d5l2mj5lyaryafckldj20elskxl,260,1633978841,0
cosmos1gru9dpat50hn4gzhvlh3vwnyc9q3q7d4jamzlp,257.94195,1641776676,0
cosmos1s8zk0vfjugymczm7tcyxsmd6j2kzpflvefmpef,251,1637924281,0
cosmos1gx8vy5zqfgpf9f6qydxjm9w7gn5yfnx8uvarzt,250,1641054798,0
cosmos17y2uu22dtayks39n5nggmyc6jzkcthc8gqk2fe,250,1636078290,0
cosmos1d4wc26fyjty5s6atrd7qxdquxs0j08q6y5r2sg,250,1634303940,0
cosmos14qm6e09y44n30gj79g9tmj2ev99xzdyms3s543,250,1635417392,0
cosmos1a4d66tzxzevfa7yjrsnjcwmte7c90z7c0azgzm,243.428012,1642250464,0
cosmos1lwzypwrjzqd74ga83epc674lzxy2pzzgs6vagc,241.46053,1638564787,0
cosmos107q7y723un28vvf2eevugj3x323smcf9d7tadq,235,1581583999,0
cosmos1k3zg7a3kruhhgkh9vv55j3zvj03pws06zzhuzk,235,1641839386,0
cosmos14yxtry53zr240rhfey39sm0hjec5nrucv3dqaq,232.63095,1640851033,0
cosmos1fwgqdq40y4p3mxwtg8lzrr4sg4r79dp60992u0,220.057016,1614201578,0
cosmos16v2rtn4fd6h3ttlq7uygegvjus40zc49ad4xm0,218.316574,1641739038,0
cosmos1f97xhgsy4866xf98fcfwnuk0nhwuu0lsrxjd2j,215,1576022400,0
cosmos1f04haf8fs3pgagkf2pa5ay5uqrkjstzx9mpg84,214.5,1629137209,0
cosmos1phnr9y6xfywm0qjhdam4wqkx3tvup4ld6hz3xm,210.362215,1635823404,0
cosmos1sl276la7kjp7mh6wnw64v3zenm9l0cjnmdydas,210.3,1643315739,0
cosmos1uvxdqu26xlg6gz3g0p8d2pvgncsjrekz80w3g7,209.5405,1643544182,0
cosmos1nul93xq4es683ee03rctw6vqhmhd7aggyxmq9t,203,1635901944,0
cosmos1zj4zqpmca0qtgal7gwd2t8mz47j6g64wn73fpm,201.82504,1640976774,0
cosmos1dmmrrpf5mj0uj470af8qmnadnjzfw2a7vgfvjh,201.81,1643996728,0
cosmos1zg0vqy2q2tc04ns9lwnx0c0yrw337swl6cnum6,201.045517,1615801113,0
cosmos1em5r2k7a2rnja5gdx5lcxpg06pjmjkljux3fy0,201,1636229028,0
cosmos1xe2uqp2kazzm7kz4qmqdmq8e73jfflugtnukuf,200.701603,1644537101,0
cosmos1vnjzxk0s3sepv2q6fl4pkw4wu0dttnvrz93x22,200.092587,1639427383,0
cosmos1lg9hu49zxetge30x36pf8nccy5xeq7vzg0vzhw,200.011,1617048585,0
cosmos18drgt2925ckcud8wtrxcgscl8udmnr6whdzctn,200.0057,1615058412,0
cosmos138ftuttn3h8krgdtnm0qpkq93rwp67prkvs0pw,200.000001,1641145193,0
cosmos1gfsmn02rcmeyzavuk3qku92j6clf0uv3n6y5m5,200,1645634954,0
cosmos1vpmex66h7ylz8cg2jgy4t62xg4m2tla98qt0tx,200,1634068153,0
cosmos1pxleugd5xzduj2tjd7n9cxfayjhams2rdlnv7f,200,1642703571,0
cosmos1mta4jmypjzy8447v5hmqmtdwxall0as97rfgfn,200,1617639805,0
cosmos1gfsmn02rcmeyzavuk3qku92j6clf0uv3n6y5m5,200,1645634954,0
cosmos10us4nwwm2x7n623gkrqj5rwdeallkyfv84h2zt,200,1643904199,0
cosmos1f30gmjqxnxyentfdg40fcnfppn55x5ffsvnlpf,200,1633602734,0
cosmos1vpmex66h7ylz8cg2jgy4t62xg4m2tla98qt0tx,200,1634068153,0
cosmos1tyjhdldz6te3zzg3v8754u9l0u0g826ne2rwxj,200,1636236994,0
cosmos1mta4jmypjzy8447v5hmqmtdwxall0as97rfgfn,200,1617639805,0
cosmos1nymka0r4ra7nlepnfue44pe2l7a5gw2sl8xcm4,200,1641933399,0
cosmos1qdhe5w7yze5np4zw4jnpu7s3lh5gjmtmx09qps,200,1635814244,0
cosmos1tgxnsced54yv0yerlaepyn7cmmc5u5s4dvk9el,199.89375,1642318500,0
cosmos183aw85vx4gjqjeu2yy236we7ndjatkcsssq4vq,199.5,1641567374,0
cosmos1y6gkeqjmrxlhlyxn03duaf7nmjcktc42f65hth,199.5,1641567647,0
cosmos1n7fm7z3xk48j4tyv8rt5ela3kjcvls9zd03qch,199.5,1641567535,0
cosmos1mv6nw846sd86mavq3elz54fxuhs4z09q85sd64,199.5,1641567250,0
cosmos1c62gehvc6c6yfk4p8zz5qt7xc49aasgw2k2pvj,199,1641567914,0
cosmos1kj6vuj3zw3vauxt29z99r3ff8qrhgn9te3uzty,195,1634936252,0
cosmos1uta2mx7jdxc0tydznryd8a8we6p3xnts0kmntc,193.9806,1642758940,0
cosmos1yfrj43etaqp26mqluuvlz3350hkyavdhazrz3u,180,1644472646,0
cosmos1cuqzj5sl9jdd3zq4havrj6tg39jj0w8q28n95z,176.85,1638048634,0
cosmos1txyz6satw6nx2lkkt3vkc6a099jc3zfy39lgmr,176.005021,1576022400,17
cosmos1qadfpt4udtjspd734svk2m2vs0z8vw4vamvaym,174.198276,1633972606,0
cosmos1xfvqlkzq6ttxs2sf4wqdrt0htf3n7zlnj2pl4f,165.148722,1645285158,0
cosmos12yl7t8j586ykeqyl5raqkc5r3c2sszj0lsvakd,164.672,1644850050,0
cosmos13mpgdqyyn2cg0d8h53yys2rcmtvk8d8ancwtxl,161.99375,1641668913,0
cosmos1unqlkxyqu3nqpnw7tdmj26mhp5680xsltvlw9j,160.64882,1617589183,0
cosmos1zvgta8hwsnmpa64400whe70329ydqekvlqcf6t,159.657113,1640901639,0
cosmos1f4xs579v96wxd60qmux8qlldzqjka50l25gh3p,159.383,1612551590,0
cosmos1srv36t5qwxuh2raarp8ynd6qs7t0he4l9ltp57,159,1642301342,0
cosmos1um97pxs73k63vhyl9j2yfwhd79s6plwlxpx7na,157.801437,1636120650,157.801437
cosmos1plvmxp35pwzswzf45k79j0wrd5avpfp54apy0v,156.103496,1619698091,0
cosmos12kvy7lmvea692hz9tduqtuuwrygurcvtne2jag,155.651914,1613577871,0
cosmos1l3ny5jf5g69rdlz37pkkayvs5yypaavja5xjwf,154.1,1635619795,0
cosmos10dylql7xrk6uxn74cjl2x4r34gd55mqzl3qd92,153,1635263049,0
cosmos1fj90a4sule3jtsjze7an4hkz62usd86778jkgw,150.813232,1637766335,0
cosmos1dul99cg498ayp5aacnvu7fwqgz9vxqyug86t3f,150.325613,1639656324,0
cosmos1x69jls25lldyytfhzaaved078v72rc3jnysk6f,150.000001,1635140552,0
cosmos1hg9pkfv28ncw4a42cnuql3f308q442sy6dcs2w,150,1643492126,0
cosmos15r5tz7h7nve93snatyvv6cqlr275rtcwvaqfaw,150,1642505691,0
cosmos19dhvcrht8c0hr5sahsy9228sfxt905hlr57cjz,150,1639648795,0
cosmos1zg453l326xgrk5nm2prru4teqkym8zc9fz8nes,150,1641044738,0
cosmos1eygua0rm6qdxf3kd6yg49mevcs7lgyryx0xx38,150,1635396698,0
cosmos17gfqtnwukh7nr25evth9wpjv7hxdpdx24yusda,150,1635808564,0
cosmos1zg453l326xgrk5nm2prru4teqkym8zc9fz8nes,150,1641044738,0
cosmos19dhvcrht8c0hr5sahsy9228sfxt905hlr57cjz,150,1639648795,0
cosmos1sf90h3v0lc3f6sjejscqy4nsaxj8prd43jdvm3,150,1644024890,0
cosmos1lkm0qyhnhf36wn7g8uavuzqyh3vm67qhue7dx5,150,1644573096,0
cosmos1qhknfa8llzh506xerd09ucrt84pnx0sapnj6qp,149.92665,1644891249,0
