delegator,amount,since,delta
cosmos1zr7aswwzskhav7w57vwpaqsafuh5uj7nv8a964,5000000,1576022400,0
cosmos19muml8sjpnecnm8geul4l3zfju24l04mf8j3jv,493580,1641695233,-230000
cosmos1c0829zzzlm7lujdf8nn3mrhmg9zjugqnrrtzdg,250000,1576022400,0
cosmos1lt83tymrlkcg7jtfrzv5370z9uthttpvhf4jd7,207580.98,1612721441,0
cosmos1q4xrgp7uluenws5dflmy7y7wlwcnerwzx4numj,172601.639813,1631894626,-277.092429
cosmos1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u0tvx7u,115000,1576022400,0
cosmos1vrlt99wgwwdpukhu9nf5yaps0yc4khqn33uktr,100000,1576022400,0
cosmos192seuxmvm9q6ffxc3gwphrfrsy4hjexnvcuszg,98758.708784,1576022400,0
cosmos1y4jjwr9d4w0dg8wve6fn9wfgrgr3armjv2d3p2,97416.436388,1587681905,0
cosmos1mh74w0gprseer9p7jnp77tpwjzc9e4ur9wzmya,96517.889698,1644006079,0
cosmos1z4zpf9l6sajhy6wmxhrhk9w6n2eshjsller7tq,80447,1584523218,0
cosmos164jqcw408r27s624scqdzckv6wt8uzrag8r20w,68956.068058,1576022400,0
cosmos15hmqrc245kryaehxlch7scl9d9znxa58qkpjet,63045.822101,1619738473,0
cosmos1ph3gaf93e5gqrkhp03lzsda480ns0gtlpkzfqp,58405,1613563642,0
cosmos100a325n9ct4m2egvctrh48zheg2hwl5lt3fn5k,53575,1618748324,0
cosmos16nwhaecstfuqyczc2mwv346ly2vr0nkt454t3r,50400.170314,1639010336,0
cosmos1lj4cy82ktzj986mll9ssdqtkkw2szpzhm0vd3u,50010.192703,1639010556,0
cosmos1q5nxetqdu05qnyphwx0zwm8ea2eghgj9ue732j,50005.187477,1639010399,0
cosmos17uryv6yrtt6r76qt8fa4zhak3hw8wjyxsdym8t,50002.078361,1639010464,0
cosmos1sqn6cld9klz3k5st6ztm2zjcmhasnh6xjf0d9c,50000.19011,1639010508,0
cosmos1u7eu9umw6zl69ly9sy436pykv8fef7mplt2r3s,50000,1576022400,0
cosmos10racvfvrng7929nczcn9uu5ljznt6crvvj548r,50000,1633212215,0
cosmos1l4l63rqsswu88ja9ws688r6xylq35zmmyjlr6t,50000,1606520501,0
cosmos10a7evyydck42nhta93tnmv7yu4haqzt94xyu54,50000,1576022400,0
cosmos1nmhscawjlud20qyfd0mzacsmluy5nlg7423ukv,49999.00217,1639010606,0
cosmos1hy7lx9gl3s57c5nmankydgcteylr5d8zrjvruf,49999,1639010650,0
cosmos1kquk63vg0c7ugpd4n9l2hfemys9kgywwl67vpf,40000,1576022400,0
cosmos18r457ws54pkrvurcakxufawxp3eedhffaethje,39474.068797,1576022400,13752.651322
cosmos1la4t7jee73a4zqg9ccs2acjt462qjs5xkls4n7,39380.315555,1576022400,0
cosmos1lg2gjke0u9uag4hqh27675ju2489f5ljm45urh,35000,1576022400,0
cosmos13asrhvrqalh8txkfhjtx7ngylmwen8zm5lz5m0,35000,1643918502,0
cosmos1urde3ce4xxvg79fav0aarquhdvavy2dlmwn49l,35000,1576022400,0
cosmos1l72ggdcp99y6z56g4g775a07ff8f3dx4a60ugx,34030.509056,1576022400,0
cosmos10wz6lfhmqfw6egg0062ytnawaj6vr89lpquqgm,31486.901373,1618631872,-20000
cosmos1y32l54dp5huuv7mx8t7xefpe4vy3gqa77uj4yh,30000,1639465305,0
cosmos1u46y093q47fpdpacspefvg9uhqsdjpq7ygcgj3,29999.987369,1646024406,0
cosmos13kqg3feqvr0ete430mme3jm480ur5z0r65nke8,27517.502106,1576022400,0
cosmos1ewmayyze0svkhhsq7gs5yc9gv8uezn3tlrekqv,26402.824317,1576022400,0
cosmos13njcc8ah92x9wmfz0mvufz9qxz09sqpg2l5m8c,26250,1576022400,0
cosmos160pgvsnpawsvz6avpp5du2kta2axjkmlzsvv5c,23000,1631998047,0
cosmos13k2fr35qrksyehm4trsekq6329rpheuslxhefe,22057.257964,1637329768,475.005654
cosmos1zyqm8gmermk5mfncpvkdapaa6az4yy7kyjwgau,22000,1576022400,0
cosmos1xj24yg6z5wj0lfe8hhnyrx3wwa0rnjzdkx22ma,21756,1620027777,0
cosmos1f8ytcsuuux0uus0dlklgea7w6mnpf24pz4jplv,21346.2,1576022400,0
cosmos1ntp3hf82hd08cvj4wwacwsarx0tk6wggyt8jmn,20000,1597788856,0
cosmos169j2sfgd3tej79gpwxspq8a4z5seravlt0lx2k,20000,1640768056,0
cosmos13uus00dk300jg7n02rdh9dxzfkgfyj90vpn049,20000,1576022400,0
cosmos1ajhkz8038d0z3hspgmxad2tsezkchmztje0dr6,19996.444183,1600951856,0
cosmos1850ax3pe3nldl9d3w9p6d3ptv9aql5rz8l7uz2,19505.973131,1638262590,0
cosmos1e2fyddrp9mxng9lk8kpqs38hcusrsnwel0cqkq,19408.6,1577556332,0
cosmos18cxrl5uzlypwvarv7hxgwj3nssnqt88tgmeyxf,19000.94925,1645626037,0
cosmos13s7vjfkfx5uuep8csdhaewdtl6naljrja7gehx,18279.59807,1620753670,0
cosmos18p6x4u6zwc6zryx262lv6rryze2rdj4dsfyhpa,17483.30604,1612153390,0
cosmos1kdgjxwdk4w5pexwhtvek009pnp4qw07fls6e25,16700,1642724884,0
cosmos1tgp90s4c7h89h39tg06nqy7emet8hjfmjhcl0n,16205.000015,1644932925,0
cosmos148gxjln8kyfr6sjxh7uuffc84evy0z3u3wxkdy,15935.507645,1576022400,0
cosmos16qmk9n3kx7lusgp2zll9d97p69vysp5wazmp6a,15250,1624448594,0
cosmos1d8pwj29kze0m35grea4z9qkdgl9e54enrk9swu,15077,1617923112,0
cosmos1v3um4h8ljp26frtjczzd0jse8gqhr82vw4lt4f,15054.493876,1576022400,-1000
